slug,status,http,displayName,heroImage,logoUrl,teamCount,issues
biuro-rachunkowe-krzysztof-bejgerowski,PASS,200,Biuro Rachunkowe Krzysztof Bejgerowski,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-kurdynowski-ksiegowosc-poznan,PASS,200,Biuro Rachunkowe Kurdynowski Księgowość Poznań,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-lmb-office,PASS,200,Biuro Rachunkowe LMB Office,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-m-team,PASS,200,Biuro Rachunkowe M-Team,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-merito-poznan,PASS,200,Biuro Rachunkowe Merito,/images/solo-female-owner.jpg?v=1,/images/logo-biuro-default.svg,1,
biuro-rachunkowe-mk-bilans,PASS,200,Biuro Rachunkowe MK-BILANS,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-mk-paw-owscy,PASS,200,Biuro Rachunkowe MK Pawłowscy,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-mm-accounting-sp-z-o-o,PASS,200,Biuro Rachunkowe MM Accounting,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-molard,PASS,200,Biuro rachunkowe MOLARD,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-ms-monika-stefaniak-poznan,PASS,200,Biuro Rachunkowe MS,/images/solo-female-owner.jpg?v=1,https://biurorachunkowems.pl/images/design/logo.webp,1,
biuro-rachunkowe-natalia-wanat,PASS,200,Biuro Rachunkowe Natalia Wanat,/images/solo-female-owner.jpg?v=1,/images/logo-biuro-default.svg,1,
biuro-rachunkowe-pit,PASS,200,Biuro Rachunkowe PIT,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-pitownik-aneta-sniatkowska,PASS,200,Biuro Rachunkowe PITOWNIK Aneta Śniatkowska,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-poznan,PASS,200,Biuro Rachunkowe Poznań,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-poznan-2,PASS,200,Biuro Rachunkowe Poznań,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-poznan-3,PASS,200,Biuro Rachunkowe Poznań,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-poznan-drd,PASS,200,Biuro Rachunkowe Poznań DRD,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-poznan-jozwicki-partners,PASS,200,Biuro Rachunkowe Poznań Jóźwicki & Partners,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-poznan-kz,PASS,200,Biuro Rachunkowe Poznań KZ,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-poznan-noblesse,PASS,200,Biuro Rachunkowe Poznań Noblesse,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-poznan-nowoczesne-systemy-finansowe,PASS,200,Biuro rachunkowe Poznań Nowoczesne Systemy,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-pro-progress,PASS,200,Biuro rachunkowe Pro Progress,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-punkt-sp-z-o-o,PASS,200,Biuro Rachunkowe PUnKT,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-sodelis,PASS,200,Biuro Rachunkowe SODELIS,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-stefanska-anna,PASS,200,Biuro Rachunkowe Stefańska Anna,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-taxo,PASS,200,Biuro Rachunkowe TAXO,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-value-business,PASS,200,Biuro Rachunkowe Value Business,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-wera,PASS,200,Biuro Rachunkowe Wera,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rozliczen-zagranicznych,PASS,200,Biuro Rozliczeń Zagranicznych,/images/solo-female-owner.jpg?v=1,https://cuf-podatki.pl/wp-content/uploads/sites/2/2025/03/cropped-cuf_logo-32x32.png,1,
booq-sp-z-o-o,PASS,200,booq,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
bras7-pl-biuro-rachunkowe,PASS,200,bras7.pl Biuro Rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
business-profit-biuro-rachunkowe,PASS,200,Business Profit Biuro Rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
centrum-us-ug-rachunkowych,PASS,200,Centrum Usług Rachunkowych,/images/solo-female-owner.jpg?v=1,/images/logo-biuro-default.svg,1,
certyfikowane-biuro-rachunkowe-rzis-pl,PASS,200,Certyfikowane Biuro Rachunkowe RZIS.pl,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
fakturtax-biuro-rachunkowe-poznan,PASS,200,FakturTax biuro rachunkowe Poznań,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
ferma-cyfr,PASS,200,Ferma Cyfr,/images/solo-female-owner.jpg?v=1,http://www.fermacyfr.pl/wp-content/uploads/2018/02/logo-fermacyfr.png,1,
fineko-accounting-poznan,PASS,200,Fineko,/images/team-anna.jpg?v=2,https://www.fineko.com.pl/sites/all/themes/fineko/images/fineko-logo.png,2,
g-tax,PASS,200,G-TAX,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
grakon-sp-z-o-o,PASS,200,Biuro Rachunkowe GRAKON,/images/solo-female-owner.jpg?v=1,http://grakon.com.pl/web/grakon/wp-content/uploads/2024/03/Logo_Grakon.png,1,
hencel-biuro-rachunkowe-poznan,PASS,200,Hencel Biuro Rachunkowe,/images/solo-female-owner.jpg?v=1,/images/logo-biuro-default.svg,1,
honett-us-ugi-ksiegowe-donata-kochanska,PASS,200,HONETT usługi księgowe Donata Kochańska,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
in-come-sp-z-o-o,PASS,200,IN.COME,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
in-plus-tax,PASS,200,IN PLUS TAX,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
infakt,PASS,200,inFakt,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
invoice-tax,PASS,200,Invoice-Tax,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
jan-pietrzak,PASS,200,Jan Pietrzak,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
jeske-magdalena-auditor-accounting-office,PASS,200,Jeske Magdalena auditor. accounting Office,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
jp-joanna-niedworok-nowak,PASS,200,JP Joanna Niedworok-Nowak,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
kancelaria-centrum,PASS,200,Kancelaria Centrum,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
kancelaria-doradcy-podatkowego-anna-cegielska,PASS,200,Kancelaria Doradcy Podatkowego Anna Cegielska,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
kancelaria-gospodarcza-szatkowscy-i-wspolnicy-sp-z-o-o,PASS,200,Kancelaria Gospodarcza Szatkowscy i Wspólnicy,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
kancelaria-laurus-sp-z-o-o,PASS,200,Kancelaria Laurus,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
kancelaria-podatkowa-andrzej-nowak-sp-z-o-o,PASS,200,Kancelaria Podatkowa Andrzej Nowak,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
kancelaria-podatkowa-sas-tax,PASS,200,Kancelaria Podatkowa SAS TAX,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
kancelaria-rachunkowa-denarius-sp-z-o-o,PASS,200,Kancelaria Rachunkowa Denarius,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
kancelaria-rachunkowa-kmn-prestige-spo-ka-z-ograniczona,PASS,200,KANCELARIA RACHUNKOWA KMN PRESTIGE Z OGRANICZONĄ,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
kancelaria-us-ug-ksiegowych-tyniec-partnerzy,PASS,200,Kancelaria Usług Księgowych Tyniec & Partnerzy,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
katarzyna-burzynska,PASS,200,Biuro Rachunkowe Katarzyna Burzyńska,/images/solo-female-owner.jpg?v=1,/images/logo-biuro-default.svg,1,
ksiegowa-ewa-wojciechowska,PASS,200,Księgowa Ewa Wojciechowska,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
ksiegowosc,PASS,200,Księgowość,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
ksiegowy-expert,PASS,200,Księgowy EXPERT,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
libra-biuro-rachunkowe,PASS,200,Libra Biuro Rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
magdalena-mielcarek,PASS,200,Magdalena Mielcarek,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
maria-lipka,PASS,200,Fachowa Księgowa Maria Lipka,/images/solo-female-owner.jpg?v=1,http://www.fachowaksiegowa.pl/wp-content/uploads/2016/05/fachowa_ksiegowa.png,1,
marta-sowa,PASS,200,Marta Sowa,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
md-biuro-rachunkowe-ma-gorzata-dudziak,PASS,200,Md Biuro Rachunkowe Małgorzata Dudziak,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
mega-lex-corp,PASS,200,Mega Lex,/images/solo-female-owner.jpg?v=1,https://megalex.pl/assets/logo.webp,1,
nowypit-pl-biuro-prawno-rachunkowe,PASS,200,Nowypit.pl Biuro Prawno Rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
optimum-accounting-office-poznan,PASS,200,OPTIMUM - Accounting Office Poznan,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
pg-partner-gospodarczy,PASS,200,PG Partner Gospodarczy,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
pietkun-kancelaria-rachunkowa,PASS,200,Pietkun Kancelaria Rachunkowa,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
polskie-centrum-rachunkowosci,PASS,200,Polskie Centrum Rachunkowości,/images/solo-female-owner.jpg?v=1,/images/logo-biuro-default.svg,1,
profit-biuro-rachunkowe,PASS,200,Biuro Rachunkowe PROFIT,/images/solo-female-owner.jpg?v=1,http://www.profitrachunki.pl/images/logoh_biuro_rachunkowe_PROFIT.png,1,
renata-pempera-biuro-rachunkowe,PASS,200,Renata Pempera Biuro Rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
smctax,PASS,200,SmcTax,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
sobieraj-i-kuzmin-sp-z-o-o-biuro-rachunkowe-poznan,PASS,200,Sobieraj i Kuźmin Biuro Rachunkowe Poznań,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
spectrum-biuro-rachunkowe,PASS,200,Spectrum Biuro Rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
taxcoach-sp-z-o-o-biuro-rachunkowe,PASS,200,TaxCoach Biuro Rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
taxeo-accounting-office-poznan,PASS,200,Taxeo Accounting Office Poznań,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
taxodus-biuro-ksiegowe-poznan-awica-biuro-rachunkowe,PASS,200,Taxodus Biuro Księgowe Poznań Ławica Biuro,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
taxshield-biuro-rachunkowe-online,PASS,200,TaxShield Biuro Rachunkowe Online,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
vespa-biuro-rachunkowe,PASS,200,VESPA Biuro Rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
wikom-biuro-rachunkowe,PASS,200,Wikom Biuro Rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
zmarz-jolanta-biuro-rachunkowe,PASS,200,Biuro Rachunkowe Jolanta Zmarz,/images/solo-female-owner.jpg?v=1,https://zmarz.poznan.pl/logo1.gif,1,
