slug,displayName,teamType,status,localhostUrl
biuro-rachunkowe-atp,Biuro rachunkowe ATP,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-atp
biuro-rachunkowe-b-b-i,Biuro Rachunkowe B&B I,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-b-b-i
biuro-rachunkowe-brkm,Biuro Rachunkowe BRKM,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-brkm
biuro-rachunkowe-capital-sp-z-o-o,Biuro Rachunkowe Capital Sp. z o. o,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-capital-sp-z-o-o
biuro-rachunkowe-clear-finance-sp-z-o-o,Biuro Rachunkowe Clear Finance Sp. z o.o,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-clear-finance-sp-z-o-o
biuro-rachunkowe-consulting-tax-sp-z-o-o,Biuro Rachunkowe CONSULTING-TAX sp. z o.o,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-consulting-tax-sp-z-o-o
biuro-rachunkowe-dino,Biuro Rachunkowe Dino,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-dino
biuro-rachunkowe-dm-sp-z-oo,BIURO RACHUNKOWE DM SP. Z OO,jednoosobowe,WARN,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-dm-sp-z-oo
biuro-rachunkowe-doradztwo-podatkowe,"Biuro Rachunkowe, doradztwo podatkowe",wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-doradztwo-podatkowe
biuro-rachunkowe-ekonomik,Biuro Rachunkowe EKONOMIK,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-ekonomik
biuro-rachunkowe-elzbieta-wawrzyniak,Biuro Rachunkowe Elżbieta Wawrzyniak,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-elzbieta-wawrzyniak
biuro-rachunkowe-gama-izabela-mitkowska,Biuro Rachunkowe GAMA Izabela Mitkowska,jednoosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-gama-izabela-mitkowska
biuro-rachunkowe-income-tax-weronika-greda,Biuro Rachunkowe Income Tax Weronika Gręda,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-income-tax-weronika-greda
biuro-rachunkowe-infi,Biuro rachunkowe Infi,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-infi
biuro-rachunkowe-infinitum-ksiegowosc-e-commerce,Biuro Rachunkowe INFINITUM księgowość e-commerce,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-infinitum-ksiegowosc-e-commerce
biuro-rachunkowe-jw,Biuro Rachunkowe JW,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-jw
biuro-rachunkowe-kaizen-mateusz-baczyk,Biuro rachunkowe KAIZEN Mateusz Bączyk,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-kaizen-mateusz-baczyk
biuro-rachunkowe-kmt-finance,Biuro Rachunkowe KMT Finance,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-kmt-finance
biuro-rachunkowe-krzysztof-bejgerowski,Biuro Rachunkowe Krzysztof Bejgerowski,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-krzysztof-bejgerowski
biuro-rachunkowe-kurdynowski-ksiegowosc-poznan,Biuro Rachunkowe Kurdynowski Księgowość Poznań,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-kurdynowski-ksiegowosc-poznan
biuro-rachunkowe-lmb-office,Biuro Rachunkowe LMB Office,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-lmb-office
biuro-rachunkowe-m-team,Biuro Rachunkowe M-Team,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-m-team
biuro-rachunkowe-merito-poznan,Biuro Rachunkowe Merito Poznań,jednoosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-merito-poznan
biuro-rachunkowe-mk-bilans,Biuro Rachunkowe MK-BILANS,nieokreslone,WARN,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-mk-bilans
biuro-rachunkowe-mk-paw-owscy,Biuro Rachunkowe MK Pawłowscy,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-mk-paw-owscy
biuro-rachunkowe-mm-accounting-sp-z-o-o,Biuro Rachunkowe MM Accounting Sp. z o.o,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-mm-accounting-sp-z-o-o
biuro-rachunkowe-molard,Biuro rachunkowe MOLARD,nieokreslone,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-molard
biuro-rachunkowe-ms-monika-stefaniak-poznan,Biuro Rachunkowe MS Monika Stefaniak Poznań,jednoosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-ms-monika-stefaniak-poznan
biuro-rachunkowe-natalia-wanat,Biuro Rachunkowe Natalia Wanat,jednoosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-natalia-wanat
biuro-rachunkowe-pit,Biuro Rachunkowe PIT,nieokreslone,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-pit
biuro-rachunkowe-pitownik-aneta-sniatkowska,Biuro Rachunkowe PITOWNIK Aneta Śniatkowska,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-pitownik-aneta-sniatkowska
biuro-rachunkowe-poznan,Biuro Rachunkowe Poznań,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-poznan
biuro-rachunkowe-poznan-2,Biuro Rachunkowe Poznań,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-poznan-2
biuro-rachunkowe-poznan-3,Biuro Rachunkowe Poznań,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-poznan-3
biuro-rachunkowe-poznan-drd,Biuro Rachunkowe Poznań DRD,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-poznan-drd
biuro-rachunkowe-poznan-jozwicki-partners,Biuro Rachunkowe Poznań Jóźwicki & Partners,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-poznan-jozwicki-partners
biuro-rachunkowe-poznan-kz,Biuro Rachunkowe Poznań KZ,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-poznan-kz
biuro-rachunkowe-poznan-noblesse,Biuro Rachunkowe Poznań Noblesse,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-poznan-noblesse
biuro-rachunkowe-poznan-nowoczesne-systemy-finansowe,Biuro rachunkowe Poznań Nowoczesne Systemy Finansowe,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-poznan-nowoczesne-systemy-finansowe
biuro-rachunkowe-pro-progress,Biuro rachunkowe Pro Progress,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-pro-progress
biuro-rachunkowe-punkt-sp-z-o-o,Biuro Rachunkowe PUnKT Sp. z o.o,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-punkt-sp-z-o-o
biuro-rachunkowe-sodelis,Biuro Rachunkowe SODELIS,nieokreslone,WARN,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-sodelis
biuro-rachunkowe-stefanska-anna,Biuro Rachunkowe Stefańska Anna,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-stefanska-anna
biuro-rachunkowe-taxo,Biuro Rachunkowe TAXO,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-taxo
biuro-rachunkowe-value-business,Biuro Rachunkowe Value Business,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-value-business
biuro-rachunkowe-wera,Biuro Rachunkowe Wera,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-wera
biuro-rozliczen-zagranicznych,Biuro rozliczeń zagranicznych,jednoosobowe,WARN,http://127.0.0.1:3000/?biuro=biuro-rozliczen-zagranicznych
booq-sp-z-o-o,booq sp. z o.o,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=booq-sp-z-o-o
bras7-pl-biuro-rachunkowe,bras7.pl Biuro Rachunkowe,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=bras7-pl-biuro-rachunkowe
business-profit-biuro-rachunkowe,Business Profit Biuro Rachunkowe,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=business-profit-biuro-rachunkowe
centrum-us-ug-rachunkowych,Centrum Usług Rachunkowych,jednoosobowe,PASS,http://127.0.0.1:3000/?biuro=centrum-us-ug-rachunkowych
certyfikowane-biuro-rachunkowe-rzis-pl,Certyfikowane Biuro Rachunkowe RZIS.pl,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=certyfikowane-biuro-rachunkowe-rzis-pl
fakturtax-biuro-rachunkowe-poznan,FakturTax biuro rachunkowe Poznań,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=fakturtax-biuro-rachunkowe-poznan
ferma-cyfr,Ferma Cyfr,jednoosobowe,PASS,http://127.0.0.1:3000/?biuro=ferma-cyfr
fineko-accounting-poznan,Fineko. Accounting Poznan,jednoosobowe,WARN,http://127.0.0.1:3000/?biuro=fineko-accounting-poznan
g-tax,G-TAX,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=g-tax
grakon-sp-z-o-o,Grakon Sp. z o. o,jednoosobowe,PASS,http://127.0.0.1:3000/?biuro=grakon-sp-z-o-o
hencel-biuro-rachunkowe-poznan,Hencel biuro rachunkowe Poznań,jednoosobowe,WARN,http://127.0.0.1:3000/?biuro=hencel-biuro-rachunkowe-poznan
honett-us-ugi-ksiegowe-donata-kochanska,HONETT usługi księgowe Donata Kochańska,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=honett-us-ugi-ksiegowe-donata-kochanska
in-come-sp-z-o-o,IN.COME Sp. z o. o,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=in-come-sp-z-o-o
in-plus-tax,IN PLUS TAX,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=in-plus-tax
infakt,inFakt,nieokreslone,WARN,http://127.0.0.1:3000/?biuro=infakt
invoice-tax,Invoice-Tax,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=invoice-tax
jan-pietrzak,Jan Pietrzak,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=jan-pietrzak
jeske-magdalena-auditor-accounting-office,Jeske Magdalena auditor. accounting Office,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=jeske-magdalena-auditor-accounting-office
jp-joanna-niedworok-nowak,JP Joanna Niedworok-Nowak,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=jp-joanna-niedworok-nowak
kancelaria-centrum,Kancelaria Centrum,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=kancelaria-centrum
kancelaria-doradcy-podatkowego-anna-cegielska,Kancelaria Doradcy Podatkowego Anna Cegielska,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=kancelaria-doradcy-podatkowego-anna-cegielska
kancelaria-gospodarcza-szatkowscy-i-wspolnicy-sp-z-o-o,Kancelaria Gospodarcza Szatkowscy i Wspólnicy Sp. z o.o,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=kancelaria-gospodarcza-szatkowscy-i-wspolnicy-sp-z-o-o
kancelaria-laurus-sp-z-o-o,Kancelaria Laurus sp. z o.o,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=kancelaria-laurus-sp-z-o-o
kancelaria-podatkowa-andrzej-nowak-sp-z-o-o,Kancelaria Podatkowa Andrzej Nowak Sp. z o.o,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=kancelaria-podatkowa-andrzej-nowak-sp-z-o-o
kancelaria-podatkowa-sas-tax,Kancelaria Podatkowa SAS TAX,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=kancelaria-podatkowa-sas-tax
kancelaria-rachunkowa-denarius-sp-z-o-o,Kancelaria Rachunkowa Denarius Sp. z o.o,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=kancelaria-rachunkowa-denarius-sp-z-o-o
kancelaria-rachunkowa-kmn-prestige-spo-ka-z-ograniczona,KANCELARIA RACHUNKOWA KMN PRESTIGE SPÓŁKA Z OGRANICZONĄ,wieloosobowe,FAIL,http://127.0.0.1:3000/?biuro=kancelaria-rachunkowa-kmn-prestige-spo-ka-z-ograniczona
kancelaria-us-ug-ksiegowych-tyniec-partnerzy,Kancelaria Usług Księgowych Tyniec & Partnerzy,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=kancelaria-us-ug-ksiegowych-tyniec-partnerzy
katarzyna-burzynska,Katarzyna Burzyńska,jednoosobowe,PASS,http://127.0.0.1:3000/?biuro=katarzyna-burzynska
ksiegowa-ewa-wojciechowska,Księgowa Ewa Wojciechowska,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=ksiegowa-ewa-wojciechowska
ksiegowosc,Księgowość,nieokreslone,WARN,http://127.0.0.1:3000/?biuro=ksiegowosc
ksiegowy-expert,Księgowy EXPERT,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=ksiegowy-expert
libra-biuro-rachunkowe,Libra Biuro Rachunkowe,nieokreslone,WARN,http://127.0.0.1:3000/?biuro=libra-biuro-rachunkowe
magdalena-mielcarek,Magdalena Mielcarek,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=magdalena-mielcarek
maria-lipka,Maria Lipka,jednoosobowe,WARN,http://127.0.0.1:3000/?biuro=maria-lipka
marta-sowa,Marta Sowa,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=marta-sowa
md-biuro-rachunkowe-ma-gorzata-dudziak,Md Biuro Rachunkowe Małgorzata Dudziak,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=md-biuro-rachunkowe-ma-gorzata-dudziak
mega-lex-corp,Mega Lex Corp,jednoosobowe,PASS,http://127.0.0.1:3000/?biuro=mega-lex-corp
nowypit-pl-biuro-prawno-rachunkowe,Nowypit.pl Biuro Prawno Rachunkowe,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=nowypit-pl-biuro-prawno-rachunkowe
optimum-accounting-office-poznan,OPTIMUM - Accounting Office Poznan,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=optimum-accounting-office-poznan
pg-partner-gospodarczy,PG Partner Gospodarczy,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=pg-partner-gospodarczy
pietkun-kancelaria-rachunkowa,Pietkun Kancelaria Rachunkowa,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=pietkun-kancelaria-rachunkowa
polskie-centrum-rachunkowosci,Polskie Centrum Rachunkowości,jednoosobowe,WARN,http://127.0.0.1:3000/?biuro=polskie-centrum-rachunkowosci
profit-biuro-rachunkowe,Profit. Biuro rachunkowe,jednoosobowe,PASS,http://127.0.0.1:3000/?biuro=profit-biuro-rachunkowe
renata-pempera-biuro-rachunkowe,Renata Pempera Biuro Rachunkowe,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=renata-pempera-biuro-rachunkowe
smctax,SmcTax,nieokreslone,WARN,http://127.0.0.1:3000/?biuro=smctax
sobieraj-i-kuzmin-sp-z-o-o-biuro-rachunkowe-poznan,Sobieraj i Kuźmin Sp. z o.o. Biuro rachunkowe Poznań,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=sobieraj-i-kuzmin-sp-z-o-o-biuro-rachunkowe-poznan
spectrum-biuro-rachunkowe,Spectrum Biuro Rachunkowe,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=spectrum-biuro-rachunkowe
taxcoach-sp-z-o-o-biuro-rachunkowe,TaxCoach Sp. z o.o. Biuro rachunkowe,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=taxcoach-sp-z-o-o-biuro-rachunkowe
taxeo-accounting-office-poznan,Taxeo Accounting Office Poznań,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=taxeo-accounting-office-poznan
taxodus-biuro-ksiegowe-poznan-awica-biuro-rachunkowe,Taxodus Biuro Księgowe Poznań Ławica Biuro Rachunkowe,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=taxodus-biuro-ksiegowe-poznan-awica-biuro-rachunkowe
taxshield-biuro-rachunkowe-online,TaxShield Biuro Rachunkowe Online,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=taxshield-biuro-rachunkowe-online
vespa-biuro-rachunkowe,VESPA Biuro Rachunkowe,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=vespa-biuro-rachunkowe
wikom-biuro-rachunkowe,Wikom Biuro Rachunkowe,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=wikom-biuro-rachunkowe
zmarz-jolanta-biuro-rachunkowe,Zmarz Jolanta. Biuro rachunkowe,jednoosobowe,WARN,http://127.0.0.1:3000/?biuro=zmarz-jolanta-biuro-rachunkowe
