slug,displayName,status,issues,website,pagesFetched,email,phone,teamType,serviceModel,heroImage
biuro-rachunkowe-dm-sp-z-oo,BIURO RACHUNKOWE DM SP. Z OO,WARN,website_missing;email_missing;hero_image_fallback,,0,,502 497 149,jednoosobowe,stacjonarnie,/images/hero-accountant.jpg
biuro-nix-us-ugi-ksiegowe-sp-z-o-o,BIURO-NIX Usługi Księgowe Sp.z o.o,FAIL,website_unreachable;email_missing;hero_image_fallback,https://biuro-nix.pl,0,,506 067 123,jednoosobowe,stacjonarnie,/images/hero-accountant.jpg
biura-rachunkowe-kryzysowa-ksiegowa-i-wspolnicy-malwowa-ksiegowa-z,"Biura Rachunkowe Kryzysowa księgowa i wspólnicy, Malwowa, Księgowa z",PASS,,https://kryzysowa-ksiegowa.pl,2,biuro@kryzysowa-ksiegowa.pl,61 868 70 43,wieloosobowe,stacjonarnie,https://www.kryzysowa-ksiegowa.pl/images/design/baner.jpg
biuro-prawno-rachunkowe-maciej-skorupinski,Biuro Prawno-Rachunkowe Maciej Skorupiński,PASS,,https://skorupinski.pl,6,biuro@skorupinski.pl,61 865 70 54,wieloosobowe,hybrydowo,https://skorupinski.pl/wp-content/uploads/bprs-zdjecie-oferta-1024x601.png
biuro-rachunkowe,Biuro Rachunkowe,WARN,hero_image_fallback,https://podatkowezacisze.pl,4,biuro@podatkowezacisze.pl,500 276 004,wieloosobowe,stacjonarnie,/images/hero-accountant.jpg
biuro-rachunkowe-ad-plus,Biuro Rachunkowe AD-plus,PASS,,https://ad-plus.pl,4,biuro@ad-plus.pl,880 680 868,wieloosobowe,hybrydowo,https://www.ad-plus.pl/wp-content/uploads/2015/10/Tablet-Mockup-Template2.png
biuro-rachunkowe-agus-agnieszka-augustyniak,Biuro Rachunkowe AGUS Agnieszka Augustyniak,WARN,email_missing;hero_image_fallback,https://agus-biurorachunkowe.com.pl,1,,511 075 926,jednoosobowe,stacjonarnie,/images/hero-accountant.jpg
biuro-rachunkowe-agnieszka-miskiewicz,Biuro Rachunkowe Agnieszka Miśkiewicz,PASS,,https://br-miskiewicz.pl,3,biuro@br-miskiewicz.pl,509 099 518,jednoosobowe,stacjonarnie,https://br-miskiewicz.pl/img/favo.png
biuro-rachunkowe-algor,Biuro Rachunkowe Algor,PASS,,https://algor-podatki.pl,4,biuro@algor-podatki.pl,61 875 80 07,wieloosobowe,stacjonarnie,https://algor-podatki.pl/images/ksi_bg.jpg
biuro-rachunkowe-aneta-milewska-koz-owska-ksiegowosc-us-ugi-ksiegowe,Biuro Rachunkowe Aneta Milewska- Kozłowska Księgowość Usługi Księgowe,PASS,,https://biurorachunkowemilewska.pl,1,info@biurorachunkowemilewska.pl,500 182 379,wieloosobowe,stacjonarnie,https://biurorachunkowemilewska.pl/images/2025/12/08/dsc_1505.jpg
biuro-rachunkowe-atoran,Biuro Rachunkowe Atoran,PASS,,https://atoran.pl,6,liberkowska@atoran.pl,502 546 806,wieloosobowe,hybrydowo,https://atoran.pl/images/design/image-1.webp
biuro-rachunkowe-b-b-i,Biuro Rachunkowe B&B I,PASS,,https://biuro-bb.pl,6,bb.poznan.pl@gmail.com,514 018 884,wieloosobowe,stacjonarnie,https://biuro-bb.pl/images/design/content-kompleksowa-obsluga-ksiegowa.webp
biuro-rachunkowe-brkm,Biuro Rachunkowe BRKM,PASS,,https://brkm.com.pl,4,kontakt@brkm.com.pl,604 179 541,wieloosobowe,hybrydowo,https://brkm.com.pl/wp-content/uploads/2023/05/stairs-gfe18cf50c_1920-1024x683.jpg
biuro-rachunkowe-consulting-tax-sp-z-o-o,Biuro Rachunkowe CONSULTING-TAX sp. z o.o,PASS,,https://consulting-tax.com,3,biuro@consulting-tax.com,502 410 831,wieloosobowe,stacjonarnie,https://consulting-tax.com/wp-content/uploads/2024/03/tax-1.png
biuro-rachunkowe-capital-sp-z-o-o,Biuro Rachunkowe Capital Sp. z o. o,WARN,phone_not_seen_on_site,https://br-capital.pl,5,biurorachunkowe.capital@gmail.com,61 865 35 20,wieloosobowe,hybrydowo,https://br-capital.pl/wp-content/plugins/revslider/public/assets/assets/dummy.png
biuro-rachunkowe-clear-finance-sp-z-o-o,Biuro Rachunkowe Clear Finance Sp. z o.o,PASS,,https://clearfinance.com.pl,6,biuro@clearfinance.com.pl,533 854 335,wieloosobowe,stacjonarnie,https://clearfinance.com.pl/wp-content/uploads/2020/07/Photogenica-PHX96832726-kadr-1.jpg
biuro-rachunkowe-dino,Biuro Rachunkowe Dino,PASS,,https://dino.poznan.pl,1,dino@dino.poznan.pl,61 862 27 86,wieloosobowe,stacjonarnie,https://dino.poznan.pl/images/tlo2.png
biuro-rachunkowe-ekonomik,Biuro Rachunkowe EKONOMIK,PASS,,https://ekonomiksc.pl,5,biuro@ekonomiksc.pl,602 330 036,wieloosobowe,hybrydowo,https://ekonomiksc.pl/wp-content/uploads/2025/07/latarnia-1024x705.jpg
biuro-rachunkowe-elzbieta-wawrzyniak,Biuro Rachunkowe Elżbieta Wawrzyniak,WARN,phone_not_seen_on_site,https://wawrzyniakbiuro.pl,3,office@wawrzyniakbiuro.pl,61 222 59 82,wieloosobowe,stacjonarnie,http://www.wawrzyniakbiuro.pl/wp-content/uploads/img/fk2.jpg
biuro-rachunkowe-gama-izabela-mitkowska,Biuro Rachunkowe GAMA Izabela Mitkowska,PASS,,https://gama-rachunkowosc.pl,1,biuro@gama-rachunkowosc.pl,61 828 19 22,jednoosobowe,stacjonarnie,https://gama-rachunkowosc.pl/wp-content/uploads/2021/08/gama_o_firmie_img1-e1424103631318.jpg
biuro-rachunkowe-infinitum-ksiegowosc-e-commerce,Biuro Rachunkowe INFINITUM księgowość e-commerce,PASS,,https://infinitum-biurorachunkowe.pl,6,biuro@infinitum-biurorachunkowe.pl,504 227 204,wieloosobowe,hybrydowo,https://infinitum-biurorachunkowe.pl/wp-content/uploads/2023/03/Ksiegowosc-ecommerce-POznan-1024x701.jpg
biuro-rachunkowe-income-tax-weronika-greda,Biuro Rachunkowe Income Tax Weronika Gręda,PASS,,https://incometax.pl,6,biuro@incometax.pl,574 799 944,wieloosobowe,hybrydowo,http://incometax.pl/wp-content/uploads/2023/03/white.jpg
biuro-rachunkowe-jw,Biuro Rachunkowe JW,PASS,,https://biurorachunkowejw.pl,6,biuro@biurorachunkowejw.pl,665 106 769,wieloosobowe,hybrydowo,https://biurorachunkowejw.pl/images/pl/webpage_1/lsf2uzqp/element_3471/rwdMode_1/234x85/cik-baner.png
biuro-rachunkowe-kmt-finance,Biuro Rachunkowe KMT Finance,PASS,,https://kmtfinance.pl,6,office@kmtfinance.pl,503 074 732,wieloosobowe,hybrydowo,https://kmtfinance.pl/wp-content/uploads/2025/03/zdjecie-4.png
biuro-rachunkowe-krzysztof-bejgerowski,Biuro Rachunkowe Krzysztof Bejgerowski,PASS,,https://brkb.pl,4,biuro@brkb.pl,61 821 50 21,wieloosobowe,stacjonarnie,https://brkb.pl/wp-content/uploads/2021/08/czlowiek-z-dlugopisem.jpg
biuro-rachunkowe-kurdynowski-ksiegowosc-poznan,Biuro Rachunkowe Kurdynowski Księgowość Poznań,PASS,,https://kurdynowski.com.pl,6,poznan@kurdynowski.pl,696 392 727,wieloosobowe,hybrydowo,https://kurdynowski.com.pl/wp-content/uploads/2026/02/image-95ca996c-0c91-4e5b-9637-3efa1cf6bb91.jpeg
biuro-rachunkowe-lmb-office,Biuro Rachunkowe LMB Office,PASS,,https://lmboffice.pl,6,biuro@lmboffice.pl,794 415 415,wieloosobowe,stacjonarnie,https://www.lmboffice.pl/images/design/banner_podstrona.webp
biuro-rachunkowe-m-team,Biuro Rachunkowe M-Team,PASS,,https://m-team-biurorachunkowe.pl,6,kontakt@m-team-biurorachunkowe.pl,503 132 350,wieloosobowe,stacjonarnie,https://m-team-biurorachunkowe.pl/wp-content/uploads/2021/08/tlo.jpg
biuro-rachunkowe-mk-paw-owscy,Biuro Rachunkowe MK Pawłowscy,PASS,,https://mkpawlowscy.com,3,biuromkpawlowscy@gmail.com,797 552 146,wieloosobowe,hybrydowo,https://mkpawlowscy.com/images/pl/webpage_24/mhetkuhe/element_592/rwdMode_4/640x824/unsplash-image.webp
biuro-rachunkowe-mk-bilans,Biuro Rachunkowe MK-BILANS,WARN,phone_not_seen_on_site,https://mkbilans.pl,6,kontakt@mkbilans.pl,723 263 000,nieokreslone,stacjonarnie,https://mkbilans.pl/files/slider/big/137578272415200c74421c92133233597.jpg
biuro-rachunkowe-mm-accounting-sp-z-o-o,Biuro Rachunkowe MM Accounting Sp. z o.o,PASS,,https://mm-accounting.pl,4,biuro@mm-accounting.pl,515 938 021,wieloosobowe,stacjonarnie,https://mm-accounting.pl/wp-content/uploads/2009/11/photo_9265_20091029-300x225.jpg
biuro-rachunkowe-ms-monika-stefaniak-poznan,Biuro Rachunkowe MS Monika Stefaniak Poznań,PASS,,https://biurorachunkowems.pl,1,msbiurostefaniak@gmail.com,503 553 249,jednoosobowe,stacjonarnie,https://biurorachunkowems.pl/images/design/visual-a.webp
biuro-rachunkowe-merito-poznan,Biuro Rachunkowe Merito Poznań,PASS,,https://biuromerito.pl,2,kontakt@biuromerito.pl,735 158 813,jednoosobowe,hybrydowo,https://biuromerito.pl/user/pages/01.home/01._hero/merito3.png
biuro-rachunkowe-natalia-wanat,Biuro Rachunkowe Natalia Wanat,PASS,,https://ksiegowosc-wanat.com,1,natalia@ksiegowosc-wanat.com,570 563 275,jednoosobowe,stacjonarnie,"https://static.wixstatic.com/media/11062b_fc9c95ad7e20472ca5b659bd7bc733f1f000.jpg/v1/fill/w_112,h_63,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/11062b_fc9c95ad7e20472ca5b659bd7bc733f1f000.jpg"
biuro-rachunkowe-pit,Biuro Rachunkowe PIT,PASS,,https://pitbiuro.pl,4,biuro@pitbiuro.pl,61 822 63 97,nieokreslone,stacjonarnie,https://pitbiuro.pl/assets/images/mail.png
biuro-rachunkowe-pitownik-aneta-sniatkowska,Biuro Rachunkowe PITOWNIK Aneta Śniatkowska,PASS,,https://pitownik.pl,4,biuro@pitownik.pl,601 452 686,wieloosobowe,hybrydowo,https://pitownik.pl/wp-content/uploads/2024/12/hero-section-1024x971.webp
biuro-rachunkowe-punkt-sp-z-o-o,Biuro Rachunkowe PUnKT Sp. z o.o,PASS,,https://brpunkt.pl,4,biuro@brpunkt.pl,514 533 315,wieloosobowe,hybrydowo,https://brpunkt.pl/wp-content/uploads/2015/02/start.jpg
biuro-rachunkowe-poznan,Biuro Rachunkowe Poznań,PASS,,https://br-ingenium.pl,6,info@br-ingenium.pl,517 230 852,wieloosobowe,hybrydowo,https://br-ingenium.pl/wp-content/uploads/2024/02/cropped-8c4a8df2-8f8c-4032-84f2-3a79926a9087.png
biuro-rachunkowe-poznan-2,Biuro Rachunkowe Poznań,WARN,phone_not_seen_on_site,https://kgjk.eu,6,kontakt@kgjk.eu,732 252 164,wieloosobowe,hybrydowo,https://kgjk.eu/wp-content/uploads/2025/09/slider_1.webp
biuro-rachunkowe-poznan-3,Biuro Rachunkowe Poznań,WARN,phone_not_seen_on_site,https://biurorachunkowepoznan.org,3,biuro@parkidea.pl,609 776 899,wieloosobowe,stacjonarnie,https://biurorachunkowepoznan.org/wp-content/themes/surya-chandra-lite/images/default-banner.jpg
biuro-rachunkowe-poznan-kz,Biuro Rachunkowe Poznań KZ,PASS,,https://brkz.pl,4,biuro@brkz.pl,61 291 71 98,wieloosobowe,hybrydowo,https://www.brkz.pl/wp-content/uploads/skala-wystajaca-z-morza.jpg
biuro-rachunkowe-poznan-drd,Biuro Rachunkowe Poznań DRD,PASS,,https://drd.pl,6,biuro@drd.pl,61 830 92 70,wieloosobowe,hybrydowo,https://www.drd.pl/img/drd20_baner.png
biuro-rachunkowe-poznan-jozwicki-partners,Biuro Rachunkowe Poznań Jóźwicki & Partners,PASS,,https://mjn-jozwicki.pl,6,kontakt@mjn-jozwicki.pl,61 845 37 80,wieloosobowe,stacjonarnie,https://jp-group.pl/wp-content/uploads/2019/11/mjn-og.jpg
biuro-rachunkowe-poznan-noblesse,Biuro Rachunkowe Poznań Noblesse,PASS,,https://noblesse.com.pl,4,biuro@noblesse.com.pl,61 842 68 40,wieloosobowe,stacjonarnie,https://noblesse.com.pl/wp-content/uploads/2021/11/3-Kancelaria-Noblesse-Biuro-Rachunkowe-Poznan-Warszawa-768x520.jpg
biuro-rachunkowe-sodelis,Biuro Rachunkowe SODELIS,WARN,site_text_no_accounting_keywords,https://sodelis.pl,1,biuro@sodelis.pl,733 826 862,nieokreslone,stacjonarnie,https://sodelis.pl/wp-content/uploads/2023/05/left-arrow3-1-150x150.jpg
biuro-rachunkowe-stefanska-anna,Biuro Rachunkowe Stefańska Anna,WARN,phone_not_seen_on_site,https://biurorachunkowe-stefanska.pl,6,annast@op.pl,61 834 30 50,wieloosobowe,stacjonarnie,https://www.biurorachunkowe-stefanska.pl/images/design/page/layout/banner.jpg
biuro-rachunkowe-taxo,Biuro Rachunkowe TAXO,PASS,,https://taxo-acc.pl,4,kontakt@taxo-acc.pl,61 307 01 77,wieloosobowe,hybrydowo,https://www.taxo-acc.pl/wp-content/uploads/2023/08/TAXO_biale.png
biuro-rachunkowe-value-business,Biuro Rachunkowe Value Business,PASS,,https://valuebusiness.pl,5,biuro@valuebusiness.pl,784 920 193,wieloosobowe,hybrydowo,https://www.valuebusiness.pl/wp-content/gallery/onas/thumbs/thumbs_o_nas-1.jpg
biuro-rachunkowe-wera,Biuro Rachunkowe Wera,PASS,,https://wera360.pl,4,jan@gmail.com,783 015 011,wieloosobowe,stacjonarnie,https://wera360.pl/wp-content/uploads/2017/01/18882287_1345454438895176_3965852120796158246_n.png
biuro-rachunkowe-doradztwo-podatkowe,"Biuro Rachunkowe, doradztwo podatkowe",PASS,,https://kdpo.pl,6,biuropoznan@kdpo.pl,693 433 191,wieloosobowe,stacjonarnie,https://kdpo.pl/wp-content/uploads/2015/01/biuro_r1.jpg
biuro-ksiegowe-point,Biuro księgowe POINT,PASS,,https://poznanksiegowa.pl,5,gosiachwialkowska@gmail.com,509 289 127,wieloosobowe,stacjonarnie,https://poznanksiegowa.pl/wp-content/uploads/2016/07/biuro-rachunkowe-poznan.png
biuro-rachunkowe-2,Biuro rachunkowe,WARN,phone_not_seen_on_site,https://lkprogres.pl,5,lucyna@lkprogres.pl,608 319 654,wieloosobowe,stacjonarnie,https://www.lkprogres.pl/images/design/obslugamatz.webp
biuro-rachunkowe-atp,Biuro rachunkowe ATP,PASS,,https://atpksiegowosc.pl,4,p.harwazinski@atp.biz.pl,604 087 850,wieloosobowe,hybrydowo,https://atpksiegowosc.pl/wp-content/uploads/2023/06/Lawyer-Hero-Image-1-1.png
biuro-rachunkowe-adler,Biuro rachunkowe Adler,PASS,,https://biuroadler.pl,5,info@biuroadler.pl,533 321 741,wieloosobowe,stacjonarnie,https://biuroadler.pl/wp-content/uploads/2024/06/biuro-rachunkowe-3.jpg
biuro-rachunkowe-infi,Biuro rachunkowe Infi,PASS,,https://infi.com.pl,6,biuro@infi.com.pl,731 282 111,wieloosobowe,hybrydowo,https://infi.com.pl/wp-content/uploads/2021/09/businessman-working-desk-with-using-calculator-computer-office-concept-accounting-finance.jpg
biuro-rachunkowe-kaizen-mateusz-baczyk,Biuro rachunkowe KAIZEN Mateusz Bączyk,PASS,,https://biuro-kaizen.pl,4,mateusz.baczyk@biuro-kaizen.pl,667 117 377,wieloosobowe,stacjonarnie,https://www.biuro-kaizen.pl/wp-content/uploads/2020/04/fot_mateusz.png
biuro-rachunkowe-molard,Biuro rachunkowe MOLARD,PASS,,https://molard.pl,2,biuro@molard.pl,518 049 002,nieokreslone,hybrydowo,https://molard.pl/wp-content/uploads/2025/12/office-620822_1280-1024x680.jpg
biuro-rachunkowe-poznan-nowoczesne-systemy-finansowe,Biuro rachunkowe Poznań Nowoczesne Systemy Finansowe,PASS,,https://nsf.com.pl,6,lukasz.biernat@nsf.com.pl,661 660 071,wieloosobowe,hybrydowo,https://nsf.com.pl/wp-content/uploads/2021/12/xoffice-work-g9ba3a6c31_1920-1024x688.jpg.pagespeed.ic.TlYAwQW7PT.jpg
biuro-rachunkowe-pro-progress,Biuro rachunkowe Pro Progress,PASS,,https://proprogress.pl,6,biuro@proprogress.pl,61 833 33 92,wieloosobowe,stacjonarnie,https://www.proprogress.pl/wp-content/uploads/2015/01/inwentaryzacja.jpg
biuro-rozliczen-zagranicznych,Biuro rozliczeń zagranicznych,WARN,email_missing,https://cuf-podatki.pl,5,,61 828 81 02,jednoosobowe,hybrydowo,https://cuf-podatki.pl/wp-content/uploads/sites/2/2024/02/Rectangle-439.jpeg
business-profit-biuro-rachunkowe,Business Profit Biuro Rachunkowe,PASS,,https://profit-poznan.pl,6,biuro@profit-poznan.pl,663 944 465,wieloosobowe,hybrydowo,https://profit-poznan.pl/images/slider/slider-1.jpg
centrum-us-ug-rachunkowych,Centrum Usług Rachunkowych,PASS,,https://centrumrachunkowe.poznan.pl,1,biuro@centrumrachunkowe.poznan.pl,61 862 86 46,jednoosobowe,stacjonarnie,http://webkreator.trol.pl/webkreator/_users_dir//2378/files//baner_01.jpg
certyfikowane-biuro-rachunkowe-rzis-pl,Certyfikowane Biuro Rachunkowe RZIS.pl,PASS,,https://rzis.pl,4,kontakt@rzis.pl,667 009 907,wieloosobowe,hybrydowo,https://rzis.pl/wp-content/uploads/2024/03/pkpir.jpg
fakturtax-biuro-rachunkowe-poznan,FakturTax biuro rachunkowe Poznań,PASS,,https://fakturtax.pl,6,kontakt@fakturtax.pl,501 264 565,wieloosobowe,hybrydowo,https://fakturtax.pl/images/pl/webpage_1/mmdhjq5d/element_24140/rwdMode_4/640x471/biuro-rachunkowe-poznan.webp
ferma-cyfr,Ferma Cyfr,PASS,,https://fermacyfr.pl,2,fermacyfr@fermacyfr.pl,61 826 15 88,jednoosobowe,stacjonarnie,http://www.fermacyfr.pl/wp-content/uploads/2021/10/plansza-informacyjna-PFR-poziom.png
fineko-accounting-poznan,Fineko. Accounting Poznan,WARN,hero_image_fallback,https://fineko.com.pl,4,kancelaria@fineko.com.pl,697 162 826,jednoosobowe,stacjonarnie,/images/hero-accountant.jpg
g-tax,G-TAX,PASS,,https://g-tax.pl,4,biuro@g-tax.pl,608 640 562,wieloosobowe,stacjonarnie,https://g-tax.pl/wp-content/uploads/2015/11/gtax-2.png
grakon-sp-z-o-o,Grakon Sp. z o. o,PASS,,https://grakon.com.pl,4,biuro@grakon.com.pl,609 610 148,jednoosobowe,stacjonarnie,http://grakon.com.pl/web/grakon/wp-content/uploads/2024/03/element_01.png
honett-us-ugi-ksiegowe-donata-kochanska,HONETT usługi księgowe Donata Kochańska,PASS,,https://honett.pl,6,d.kochanska@honett.pl,725 486 267,wieloosobowe,hybrydowo,https://honett.pl/wp-content/uploads/2025/09/Group-42.png
hencel-biuro-rachunkowe-poznan,Hencel biuro rachunkowe Poznań,WARN,website_missing;hero_image_fallback,,0,biurohencel@gmail.com,797 335 345,jednoosobowe,stacjonarnie,/images/hero-accountant.jpg
in-plus-tax,IN PLUS TAX,PASS,,https://inplustax.pl,3,biuro@inplustax.pl,603 491 688,wieloosobowe,stacjonarnie,https://www.inplustax.pl/app/uploads/2015/10/In_Plus_Tax_ksiegowosc_uproszczona_glowna.png
in-come-sp-z-o-o,IN.COME Sp. z o. o,WARN,hero_image_fallback,https://in-come.pl,6,bok@neofin.pl,660 092 400,wieloosobowe,stacjonarnie,/images/hero-accountant.jpg
invoice-tax,Invoice-Tax,PASS,,https://invoice-tax.pl,6,biuro@invoice-tax.pl,532 168 164,wieloosobowe,stacjonarnie,https://invoice-tax.pl/wp-content/uploads/2024/03/INVOICE-TAX-WHT.png
jp-joanna-niedworok-nowak,JP Joanna Niedworok-Nowak,PASS,,https://ibiurorachunkowe.net,3,biuro@ibiurorachunkowe.net,609 804 676,wieloosobowe,stacjonarnie,https://ibiurorachunkowe.net/img/o-firmie.jpg
jan-pietrzak,Jan Pietrzak,WARN,phone_missing,https://ksiegowyna6.pl,5,biuro@ksiegowyna6.pl,,wieloosobowe,hybrydowo,https://ksiegowyna6.pl/wp-content/uploads/2019/06/feature2-free-img-1.png
jeske-magdalena-auditor-accounting-office,Jeske Magdalena auditor. accounting Office,PASS,,https://mjbiuro.pl,5,magdalena.jeske@mjbiuro.pl,61 847 38 83,wieloosobowe,stacjonarnie,http://www.mjbiuro.pl/_layout/images/banner_magdalena_jeske.png
kancelaria-rachunkowa-kmn-prestige-spo-ka-z-ograniczona,KANCELARIA RACHUNKOWA KMN PRESTIGE SPÓŁKA Z OGRANICZONĄ,FAIL,website_unreachable;hero_image_fallback,https://kmnprestige.pl,0,kontakt@kmnprestige.pl,669 787 648,wieloosobowe,stacjonarnie,/images/hero-accountant.jpg
kancelaria-centrum,Kancelaria Centrum,PASS,,https://kancelariacentrum.pl,3,biuro@kancelariacentrum.pl,61 333 22 44,wieloosobowe,hybrydowo,https://res.cloudinary.com/kancelaria-centrum/image/upload/fl_progressive/v1614646311/centrum/headers/centrum_office_krk_awetvy.webp
kancelaria-doradcy-podatkowego-anna-cegielska,Kancelaria Doradcy Podatkowego Anna Cegielska,PASS,,https://acega.pl,6,biuro@acega.pl,608 849 559,wieloosobowe,hybrydowo,https://acega.pl/images/new/banner_acega_v2.jpg
kancelaria-gospodarcza-szatkowscy-i-wspolnicy-sp-z-o-o,Kancelaria Gospodarcza Szatkowscy i Wspólnicy Sp. z o.o,PASS,,https://kancelariagospodarcza.pl,6,kancelaria@kancelariagospodarcza.eu,61 663 32 27,wieloosobowe,hybrydowo,https://kancelariagospodarcza.pl/wp-content/uploads/2023/11/pexels-karolina-grabowska-4386328-1.jpg
kancelaria-laurus-sp-z-o-o,Kancelaria Laurus sp. z o.o,PASS,,https://laurus.poznan.pl,1,biuro@laurus.poznan.pl,61 852 36 97,wieloosobowe,hybrydowo,https://laurus.poznan.pl/img/flag/United-Kingdom.png
kancelaria-podatkowa-andrzej-nowak-sp-z-o-o,Kancelaria Podatkowa Andrzej Nowak Sp. z o.o,PASS,,https://anowak.com.pl,5,biuro@anowak.com.pl,690 105 827,wieloosobowe,hybrydowo,https://anowak.com.pl/wp-content/uploads/2025/01/O-nas-zdjecia-1-1024x1024.png
kancelaria-podatkowa-sas-tax,Kancelaria Podatkowa SAS TAX,PASS,,https://sastax.pl,6,biuro@sastax.pl,504 968 218,wieloosobowe,hybrydowo,https://sastax.pl/wp-content/uploads/2021/02/economist-office-1.jpg
kancelaria-rachunkowa-denarius-sp-z-o-o,Kancelaria Rachunkowa Denarius Sp. z o.o,PASS,,https://denarius.com.pl,6,kancelaria@denarius.com.pl,797 590 205,wieloosobowe,hybrydowo,https://www.denarius.com.pl/images/zdalne_biuro_rachunkowe.jpeg
kancelaria-us-ug-ksiegowych-tyniec-partnerzy,Kancelaria Usług Księgowych Tyniec & Partnerzy,PASS,,https://kancelariatyniec.pl,6,biuro@kancelariatyniec.pl,883 753 345,wieloosobowe,hybrydowo,https://kancelariatyniec.pl/wp-content/uploads/2017/04/powody-3-1024x683.jpg
katarzyna-burzynska,Katarzyna Burzyńska,PASS,,https://obslugaspolek.pl,4,biuro@obslugaspolek.pl,502 147 217,jednoosobowe,stacjonarnie,https://obslugaspolek.pl/assets/img/cik-baner.png
ksiegowa-ewa-wojciechowska,Księgowa Ewa Wojciechowska,PASS,,https://ksiegowa-sowa.pl,6,biuro@ksiegowa-sowa.pl,606 553 563,wieloosobowe,stacjonarnie,https://www.ksiegowa-sowa.pl/wp-content/uploads/2017/10/fotolia_92959736-1.jpg
ksiegowosc,Księgowość,WARN,website_missing;email_missing;hero_image_fallback,,0,,881 648 257,nieokreslone,stacjonarnie,/images/hero-accountant.jpg
ksiegowy-expert,Księgowy EXPERT,WARN,hero_image_fallback,https://ksiegowyexpert.pl,4,biuro@ksiegowyexpert.pl,507 548 604,wieloosobowe,stacjonarnie,/images/hero-accountant.jpg
libra-biuro-rachunkowe,Libra Biuro Rachunkowe,WARN,site_text_no_accounting_keywords;hero_image_fallback,https://librabiuro.pl,1,libra.biuro@wp.pl,696 111 610,nieokreslone,stacjonarnie,/images/hero-accountant.jpg
magdalena-mielcarek,Magdalena Mielcarek,PASS,,https://mmtax.pl,3,mielcarek@mmtax.pl,881 075 079,wieloosobowe,hybrydowo,https://mmtax.pl/wp-content/uploads/2021/11/linebgoverlay.png
