slug,displayName,email,phone,website,teamType,serviceModel,servicesCount,pricingHintsCount,heroCandidateUrl,summaryConfidence
biuro-rachunkowe-lmb-office,Biuro Rachunkowe LMB Office,biuro@lmboffice.pl,794 415 415,https://lmboffice.pl,wieloosobowe,stacjonarnie,5,3,https://www.lmboffice.pl/images/design/logo.webp,high
biuro-rachunkowe-m-team,Biuro Rachunkowe M-Team,kontakt@m-team-biurorachunkowe.pl,503 132 350,https://m-team-biurorachunkowe.pl,wieloosobowe,stacjonarnie,2,3,https://m-team-biurorachunkowe.pl/wp-content/uploads/2021/08/biuroMbank.png,high
biuro-rachunkowe-mk-paw-owscy,Biuro Rachunkowe MK Pawłowscy,biuromkpawlowscy@gmail.com,797 552 146,https://mkpawlowscy.com,wieloosobowe,hybrydowo,3,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-mk-bilans,Biuro Rachunkowe MK-BILANS,kontakt@mkbilans.pl,723 263 000,,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
biuro-rachunkowe-mm-accounting-sp-z-o-o,Biuro Rachunkowe MM Accounting Sp. z o.o.,biuro@mm-accounting.pl,515 938 021,https://mm-accounting.pl,wieloosobowe,stacjonarnie,4,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-ms-monika-stefaniak-poznan,Biuro Rachunkowe MS Monika Stefaniak Poznań,msbiurostefaniak@gmail.com,503 553 249,https://biurorachunkowems.pl,jednoosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-merito-poznan,Biuro Rachunkowe Merito Poznań,kontakt@biuromerito.pl,735 158 813,https://biuromerito.pl,nieokreslone,hybrydowo,4,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-natalia-wanat,Biuro Rachunkowe Natalia Wanat,natalia@ksiegowosc-wanat.com,570 563 275,https://ksiegowosc-wanat.com,nieokreslone,stacjonarnie,1,3,"https://static.wixstatic.com/media/cc1942_fda07eafff2f4bfc852abd93d66b5f22~mv2.jpg/v1/fill/w_881,h_790,al_c/cc1942_fda07eafff2f4bfc852abd93d66b5f22~mv2.jpg",medium
biuro-rachunkowe-pit,Biuro Rachunkowe PIT,biuro@pitbiuro.pl,61 822 63 97,https://pitbiuro.pl,nieokreslone,stacjonarnie,2,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-pitownik-aneta-sniatkowska,Biuro Rachunkowe PITOWNIK Aneta Śniatkowska,biuro@pitownik.pl,601 452 686,https://pitownik.pl,wieloosobowe,hybrydowo,3,3,https://pitownik.pl/wp-content/uploads/2024/12/logo2.png,high
biuro-rachunkowe-punkt-sp-z-o-o,Biuro Rachunkowe PUnKT Sp. z o.o.,biuro@brpunkt.pl,514 533 315,https://brpunkt.pl,wieloosobowe,hybrydowo,4,3,https://brpunkt.pl/wp-content/uploads/2020/05/logo_200x50.png,high
biuro-rachunkowe-poznan,Biuro Rachunkowe Poznań,info@br-ingenium.pl,517 230 852,https://br-ingenium.pl,wieloosobowe,hybrydowo,5,3,https://br-ingenium.pl/wp-content/uploads/2026/03/Projekt-bez-nazwy.png,high
biuro-rachunkowe-poznan-2,Biuro Rachunkowe Poznań,kontakt@kgjk.eu,732 252 164,https://kgjk.eu,wieloosobowe,hybrydowo,6,3,https://kgjk.eu/wp-content/uploads/2025/09/cropped-logo_rgb_blue_bg2.webp,high
biuro-rachunkowe-poznan-3,Biuro Rachunkowe Poznań,biuro@parkidea.pl,609 776 899,https://biurorachunkowepoznan.org,wieloosobowe,stacjonarnie,4,3,https://biurorachunkowepoznan.org/wp-content/uploads/2022/09/zalety-1.jpg,high
biuro-rachunkowe-poznan-kz,"Biuro Rachunkowe Poznań ""KZ""",biuro@brkz.pl,61 291 71 98,https://brkz.pl,wieloosobowe,hybrydowo,5,3,https://www.brkz.pl/wp-content/uploads/Liczba_firm_Poznan_BRKZ.png,high
biuro-rachunkowe-poznan-drd,Biuro Rachunkowe Poznań DRD 📖,biuro@drd.pl,61 830 92 70,https://drd.pl,wieloosobowe,hybrydowo,6,3,https://www.drd.pl/web/img/logo_kolor_new_up.png,high
biuro-rachunkowe-poznan-jozwicki-partners,Biuro Rachunkowe Poznań Jóźwicki & Partners,kontakt@mjn-jozwicki.pl,61 845 37 80,https://mjn-jozwicki.pl,wieloosobowe,stacjonarnie,5,3,https://jp-group.pl/wp-content/uploads/2019/11/mjn-og.jpg,high
biuro-rachunkowe-poznan-noblesse,Biuro Rachunkowe Poznań 👑 Noblesse,biuro@noblesse.com.pl,61 842 68 40,https://noblesse.com.pl,wieloosobowe,stacjonarnie,5,3,https://noblesse.com.pl/wp-content/uploads/2023/11/Noblesse_Poznan_1280_20211123_29.jpg,high
biuro-rachunkowe-sodelis,Biuro Rachunkowe SODELIS,biuro@sodelis.pl,733 826 862,https://sodelis.pl,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
biuro-rachunkowe-stefanska-anna,Biuro Rachunkowe Stefańska Anna,annast@op.pl,61 834 30 50,https://biurorachunkowe-stefanska.pl,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-taxo,Biuro Rachunkowe TAXO,kontakt@taxo-acc.pl,61 307 01 77,https://taxo-acc.pl,wieloosobowe,hybrydowo,5,3,https://www.taxo-acc.pl/wp-content/uploads/2024/08/grafika3_Taxo-acc_800x800-scaled.jpg,high
biuro-rachunkowe-value-business,Biuro Rachunkowe Value Business,biuro@valuebusiness.pl,784 920 193,https://valuebusiness.pl,wieloosobowe,hybrydowo,2,3,https://www.valuebusiness.pl/wp-content/uploads/2025/07/o_nas-13-683x1024.jpg,medium
biuro-rachunkowe-wera,Biuro Rachunkowe Wera,jan@gmail.com,783 015 011,https://wera360.pl,wieloosobowe,stacjonarnie,5,3,https://wera360.pl/wp-content/uploads/2018/09/wera_br_logo_512x512.png,high
biuro-rachunkowe-doradztwo-podatkowe,"Biuro Rachunkowe, doradztwo podatkowe",biuropoznan@kdpo.pl,693 433 191,https://kdpo.pl,wieloosobowe,stacjonarnie,5,3,https://kdpo.pl/wp-content/uploads/2015/01/biuro_r1.jpg,high
biuro-ksiegowe-point,Biuro księgowe POINT,gosiachwialkowska@gmail.com,509 289 127,https://poznanksiegowa.pl,wieloosobowe,stacjonarnie,4,3,https://poznanksiegowa.pl/wp-content/uploads/2016/07/lokalizacja-biura-ksiegowego.jpg,high
biuro-rachunkowe-2,Biuro rachunkowe,lucyna@lkprogres.pl,608 319 654,https://lkprogres.pl,wieloosobowe,stacjonarnie,2,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-atp,Biuro rachunkowe ATP,p.harwazinski@atp.biz.pl,604 087 850,https://atpksiegowosc.pl,wieloosobowe,hybrydowo,2,3,https://atpksiegowosc.pl/wp-content/uploads/2023/06/cropped-Logo-czarne-bez-tla.png,medium
biuro-rachunkowe-adler,Biuro rachunkowe Adler,info@biuroadler.pl,533 321 741,https://biuroadler.pl,wieloosobowe,stacjonarnie,4,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-infi,Biuro rachunkowe Infi,biuro@infi.com.pl,731 282 111,https://infi.com.pl,wieloosobowe,hybrydowo,6,3,/images/hero-accountant.jpg,high
biuro-rachunkowe-kaizen-mateusz-baczyk,Biuro rachunkowe KAIZEN Mateusz Bączyk,mateusz.baczyk@biuro-kaizen.pl,667 117 377,https://biuro-kaizen.pl,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,high
biuro-rachunkowe-molard,Biuro rachunkowe MOLARD,biuro@molard.pl,518 049 002,https://molard.pl,nieokreslone,hybrydowo,3,3,/images/hero-accountant.jpg,high
biuro-rachunkowe-poznan-nowoczesne-systemy-finansowe,Biuro rachunkowe Poznań Nowoczesne Systemy Finansowe,lukasz.biernat@nsf.com.pl,661 660 071,https://nsf.com.pl,wieloosobowe,hybrydowo,5,3,/images/hero-accountant.jpg,high
biuro-rachunkowe-pro-progress,Biuro rachunkowe Pro Progress,biuro@proprogress.pl,61 833 33 92,https://proprogress.pl,wieloosobowe,stacjonarnie,1,3,https://proprogress.pl/wp-content/uploads/2015/03/logo_wzpl_new-01.jpg,medium
biuro-rozliczen-zagranicznych,Biuro rozliczeń zagranicznych,,61 828 81 02,https://cuf-podatki.pl,nieokreslone,hybrydowo,3,3,/images/hero-accountant.jpg,low
business-profit-biuro-rachunkowe,Business Profit Biuro Rachunkowe,biuro@profit-poznan.pl,663 944 465,https://profit-poznan.pl,wieloosobowe,hybrydowo,2,3,/images/hero-accountant.jpg,medium
centrum-us-ug-rachunkowych,Centrum Usług Rachunkowych,biuro@centrumrachunkowe.poznan.pl,61 862 86 46,https://centrumrachunkowe.poznan.pl,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
certyfikowane-biuro-rachunkowe-rzis-pl,Certyfikowane Biuro Rachunkowe RZIS.pl,kontakt@rzis.pl,667 009 907,https://rzis.pl,wieloosobowe,hybrydowo,6,3,https://serwer2473725.home.pl/RZIS2026/wp-content/uploads/2023/05/image001-kopia.png,high
fakturtax-biuro-rachunkowe-poznan,FakturTax biuro rachunkowe Poznań,kontakt@fakturtax.pl,501 264 565,https://fakturtax.pl,wieloosobowe,hybrydowo,6,3,https://fakturtax.pl/lib/w62raq/Zdjecie-glowne-lmiy67vv.png,high
ferma-cyfr,Ferma Cyfr,fermacyfr@fermacyfr.pl,61 826 15 88,https://fermacyfr.pl,nieokreslone,stacjonarnie,1,3,/images/hero-accountant.jpg,low
fineko-accounting-poznan,Fineko. Accounting Poznan,kancelaria@fineko.com.pl,697 162 826,https://fineko.com.pl,jednoosobowe,stacjonarnie,4,3,/images/hero-accountant.jpg,high
g-tax,G-TAX,biuro@g-tax.pl,608 640 562,https://g-tax.pl,wieloosobowe,stacjonarnie,4,3,/images/hero-accountant.jpg,high
grakon-sp-z-o-o,Grakon Sp. z o. o.,biuro@grakon.com.pl,609 610 148,https://grakon.com.pl,jednoosobowe,stacjonarnie,2,3,/images/hero-accountant.jpg,medium
honett-us-ugi-ksiegowe-donata-kochanska,HONETT usługi księgowe Donata Kochańska,d.kochanska@honett.pl,725 486 267,https://honett.pl,wieloosobowe,hybrydowo,6,3,https://honett.pl/wp-content/uploads/2025/09/Group-42.png,high
hencel-biuro-rachunkowe-poznan,Hencel biuro rachunkowe Poznań,biurohencel@gmail.com,797 335 345,,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
in-plus-tax,IN PLUS TAX,biuro@inplustax.pl,603 491 688,https://inplustax.pl,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,high
in-come-sp-z-o-o,IN.COME Sp. z o. o.,kancelaria@in-come.pl,660 092 400,https://in-come.pl,wieloosobowe,stacjonarnie,4,3,/images/hero-accountant.jpg,high
invoice-tax,Invoice-Tax,biuro@invoice-tax.pl,532 168 164,https://invoice-tax.pl,wieloosobowe,stacjonarnie,5,3,/images/hero-accountant.jpg,high
jp-joanna-niedworok-nowak,JP Joanna Niedworok-Nowak,biuro@ibiurorachunkowe.net,609 804 676,https://ibiurorachunkowe.net,wieloosobowe,stacjonarnie,4,3,/images/hero-accountant.jpg,medium
jan-pietrzak,Jan Pietrzak,biuro@ksiegowyna6.pl,,https://ksiegowyna6.pl,wieloosobowe,hybrydowo,4,3,https://ksiegowyna6.pl/wp-content/uploads/2019/06/feature3-free-img-1.png,high
jeske-magdalena-auditor-accounting-office,Jeske Magdalena auditor. accounting Office,magdalena.jeske@mjbiuro.pl,61 847 38 83,https://mjbiuro.pl,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,medium
kancelaria-rachunkowa-kmn-prestige-spo-ka-z-ograniczona,KANCELARIA RACHUNKOWA KMN PRESTIGE SPÓŁKA Z OGRANICZONĄ,kontakt@kmnprestige.pl,669 787 648,https://kmnprestige.pl,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,low
kancelaria-centrum,Kancelaria Centrum,biuro@kancelariacentrum.pl,61 333 22 44,https://kancelariacentrum.pl,wieloosobowe,hybrydowo,3,3,https://res.cloudinary.com/kancelaria-centrum/image/upload/v1663850601/centrum/kc_email_header_dln7qn.jpg,high
kancelaria-doradcy-podatkowego-anna-cegielska,Kancelaria Doradcy Podatkowego Anna Cegielska,biuro@acega.pl,608 849 559,https://acega.pl,wieloosobowe,hybrydowo,4,3,/images/hero-accountant.jpg,high
kancelaria-gospodarcza-szatkowscy-i-wspolnicy-sp-z-o-o,Kancelaria Gospodarcza Szatkowscy i Wspólnicy Sp. z o.o.,kancelaria@kancelariagospodarcza.eu,61 663 32 27,https://kancelariagospodarcza.pl,wieloosobowe,hybrydowo,4,3,/images/hero-accountant.jpg,high
kancelaria-laurus-sp-z-o-o,Kancelaria Laurus sp. z o.o.,biuro@laurus.poznan.pl,61 852 36 97,https://laurus.poznan.pl,wieloosobowe,hybrydowo,3,3,/images/hero-accountant.jpg,medium
kancelaria-podatkowa-andrzej-nowak-sp-z-o-o,Kancelaria Podatkowa Andrzej Nowak Sp. z o.o.,biuro@anowak.com.pl,690 105 827,https://anowak.com.pl,wieloosobowe,hybrydowo,6,3,https://anowak.com.pl/wp-content/uploads/2024/07/p-2025-03-28T085410.358.png,high
kancelaria-podatkowa-sas-tax,Kancelaria Podatkowa SAS TAX,biuro@sastax.pl,504 968 218,https://sastax.pl,wieloosobowe,hybrydowo,4,3,https://sastax.pl/wp-content/uploads/2021/03/facebook-cover.png,high
kancelaria-rachunkowa-denarius-sp-z-o-o,Kancelaria Rachunkowa Denarius Sp. z o.o.,kancelaria@denarius.com.pl,797 590 205,https://denarius.com.pl,wieloosobowe,hybrydowo,3,3,/images/hero-accountant.jpg,high
kancelaria-us-ug-ksiegowych-tyniec-partnerzy,Kancelaria Usług Księgowych Tyniec & Partnerzy,biuro@kancelariatyniec.pl,883 753 345,https://kancelariatyniec.pl,wieloosobowe,hybrydowo,4,3,https://kancelariatyniec.pl/wp-content/uploads/2017/03/zakladanie-dzialanosci.jpg,high
katarzyna-burzynska,Katarzyna Burzyńska,biuro@obslugaspolek.pl,502 147 217,https://obslugaspolek.pl,nieokreslone,stacjonarnie,1,3,/images/hero-accountant.jpg,low
ksiegowa-ewa-wojciechowska,Księgowa Ewa Wojciechowska,biuro@ksiegowa-sowa.pl,606 553 563,https://ksiegowa-sowa.pl,wieloosobowe,stacjonarnie,2,3,/images/hero-accountant.jpg,medium
ksiegowosc,Księgowość,,881 648 257,,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
ksiegowy-expert,Księgowy EXPERT,biuro@ksiegowyexpert.pl,507 548 604,https://ksiegowyexpert.pl,wieloosobowe,stacjonarnie,1,3,/images/hero-accountant.jpg,low
libra-biuro-rachunkowe,Libra Biuro Rachunkowe,libra.biuro@wp.pl,696 111 610,https://librabiuro.pl,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
magdalena-mielcarek,Magdalena Mielcarek,mielcarek@mmtax.pl,881 075 079,https://mmtax.pl,wieloosobowe,hybrydowo,4,3,/images/hero-accountant.jpg,high
maria-lipka,Maria Lipka,,61 852 46 85,https://fachowaksiegowa.pl,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
marta-sowa,Marta Sowa,biuro@ksiegowa-sowa.pl,606 553 563,https://ksiegowa-sowa.pl,wieloosobowe,stacjonarnie,2,3,/images/hero-accountant.jpg,medium
md-biuro-rachunkowe-ma-gorzata-dudziak,Md Biuro Rachunkowe Małgorzata Dudziak,malgorzata@md-biurorachunkowe.com,666 166 136,https://md-biurorachunkowe.com,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,high
mega-lex-corp,Mega Lex Corp.,kontakt@megalex.pl,731 317 777,https://megalex.pl,nieokreslone,stacjonarnie,2,3,/images/hero-accountant.jpg,medium
nowypit-pl-biuro-prawno-rachunkowe,Nowypit.pl Biuro Prawno Rachunkowe,biuro@nowypit.pl,690 299 277,https://nowypit.pl,wieloosobowe,stacjonarnie,6,3,https://nowypit.pl/wp-content/uploads/2025/09/Lekarze.png,high
optimum-accounting-office-poznan,OPTIMUM - Accounting Office Poznan,optimum@optimumbiuro.com.pl,692 247 448,https://optimumbiuro.com.pl,wieloosobowe,hybrydowo,3,3,https://optimumbiuro.com.pl/wp-content/uploads/2025/06/businesswoman-meeting-financial-advisor-discuss-bu-2025-03-23-19-38-15-utc-Large.jpeg,high
pg-partner-gospodarczy,PG Partner Gospodarczy,bilans@partner-gospodarczy.pl,536 169 066,https://partner-gospodarczy.pl,wieloosobowe,hybrydowo,6,3,/images/hero-accountant.jpg,high
pietkun-kancelaria-rachunkowa,Pietkun Kancelaria Rachunkowa,sekretariat@pietkunkancelaria.pl,518 607 207,https://pietkunkancelaria.pl,wieloosobowe,hybrydowo,6,3,https://pietkunkancelaria.pl/wp-content/uploads/2022/05/Group-157.svg,high
polskie-centrum-rachunkowosci,Polskie Centrum Rachunkowości,biuro@polskiecentrumrachunkowosci.pl,61 250 24 33,https://polskiecentrumrachunkowosci.pl,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
profit-biuro-rachunkowe,Profit. Biuro rachunkowe,biuro@profitrachunki.pl,514 955 639,https://profitrachunki.pl,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
renata-pempera-biuro-rachunkowe,Renata Pempera Biuro Rachunkowe,biuro@pempera.pl,663 705 354,https://pempera.pl,wieloosobowe,stacjonarnie,4,3,/images/hero-accountant.jpg,medium
smctax,SmcTax,biuro@smctax.pl,513 669 044,https://smctax.pl,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
sobieraj-i-kuzmin-sp-z-o-o-biuro-rachunkowe-poznan,Sobieraj i Kuźmin Sp. z o.o. Biuro rachunkowe Poznań,biuro@doradztwopodatkowe-sik.pl,61 877 51 11,https://doradztwopodatkowe-sik.pl,wieloosobowe,stacjonarnie,2,3,https://doradztwopodatkowe-sik.pl/wp-content/uploads/2024/06/kuzmin_xxl-1-1-scaled.jpg,medium
spectrum-biuro-rachunkowe,Spectrum Biuro Rachunkowe,kontakt@biuro-spectrum.pl,519 642 268,https://biuro-spectrum.pl,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,high
taxcoach-sp-z-o-o-biuro-rachunkowe,TaxCoach Sp. z o.o. Biuro rachunkowe,ksiegowosc@taxcoach.pl,665 553 120,https://taxcoach.pl,wieloosobowe,hybrydowo,6,3,https://taxcoach.pl/couch/uploads/image/strona-glowna/miniaturki-fb.jpg,high
taxshield-biuro-rachunkowe-online,TaxShield Biuro Rachunkowe Online,biuro@taxshield.pl,531 331 479,https://taxshield.pl,wieloosobowe,hybrydowo,5,3,https://taxshield.pl/img/download/social.png,high
