slug,status,severity,code,details
grakon-sp-z-o-o,OK,ok,ok,
honett-us-ugi-ksiegowe-donata-kochanska,OK,ok,ok,
hencel-biuro-rachunkowe-poznan,OK,ok,ok,
in-plus-tax,OK,ok,ok,
in-come-sp-z-o-o,OK,ok,ok,
invoice-tax,OK,ok,ok,
jp-joanna-niedworok-nowak,OK,ok,ok,
jan-pietrzak,OK,ok,ok,
jeske-magdalena-auditor-accounting-office,OK,ok,ok,
kancelaria-rachunkowa-kmn-prestige-spo-ka-z-ograniczona,OK,ok,ok,
kancelaria-centrum,OK,ok,ok,
kancelaria-doradcy-podatkowego-anna-cegielska,OK,ok,ok,
kancelaria-gospodarcza-szatkowscy-i-wspolnicy-sp-z-o-o,OK,ok,ok,
kancelaria-laurus-sp-z-o-o,OK,ok,ok,
kancelaria-podatkowa-andrzej-nowak-sp-z-o-o,OK,ok,ok,
kancelaria-podatkowa-sas-tax,OK,ok,ok,
kancelaria-rachunkowa-denarius-sp-z-o-o,OK,ok,ok,
kancelaria-us-ug-ksiegowych-tyniec-partnerzy,OK,ok,ok,
katarzyna-burzynska,OK,ok,ok,
ksiegowa-ewa-wojciechowska,OK,ok,ok,
ksiegowosc,OK,ok,ok,
ksiegowy-expert,OK,ok,ok,
libra-biuro-rachunkowe,OK,ok,ok,
magdalena-mielcarek,OK,ok,ok,
maria-lipka,OK,ok,ok,
marta-sowa,OK,ok,ok,
md-biuro-rachunkowe-ma-gorzata-dudziak,OK,ok,ok,
mega-lex-corp,OK,ok,ok,
nowypit-pl-biuro-prawno-rachunkowe,OK,ok,ok,
optimum-accounting-office-poznan,OK,ok,ok,
pg-partner-gospodarczy,OK,ok,ok,
pietkun-kancelaria-rachunkowa,OK,ok,ok,
polskie-centrum-rachunkowosci,OK,ok,ok,
profit-biuro-rachunkowe,OK,ok,ok,
renata-pempera-biuro-rachunkowe,OK,ok,ok,
smctax,OK,ok,ok,
sobieraj-i-kuzmin-sp-z-o-o-biuro-rachunkowe-poznan,OK,ok,ok,
spectrum-biuro-rachunkowe,OK,ok,ok,
taxcoach-sp-z-o-o-biuro-rachunkowe,OK,ok,ok,
taxshield-biuro-rachunkowe-online,OK,ok,ok,
taxeo-accounting-office-poznan,OK,ok,ok,
taxodus-biuro-ksiegowe-poznan-awica-biuro-rachunkowe,OK,ok,ok,
vespa-biuro-rachunkowe,OK,ok,ok,
wikom-biuro-rachunkowe,OK,ok,ok,
zmarz-jolanta-biuro-rachunkowe,OK,ok,ok,
booq-sp-z-o-o,OK,ok,ok,
bras7-pl-biuro-rachunkowe,OK,ok,ok,
infakt,OK,ok,ok,
