"additionalInfo/info/Accessibility/0","additionalInfo/info/Accessibility/1","additionalInfo/info/Accessibility/2","additionalInfo/info/Accessibility/3","additionalInfo/info/Amenities/0","additionalInfo/info/Crowd/0","additionalInfo/info/Crowd/1","additionalInfo/info/From the business/0","additionalInfo/info/Parking/0","additionalInfo/info/Parking/1","additionalInfo/info/Planning/0","additionalInfo/info/Planning/1","additionalInfo/info/Service options/0","additionalInfo/info/Service options/1","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","cid","city","country","country_code","country_name","display_rank","gid","isClaimed","language_code","language_name","latitude","longDescription","longitude","name","neighborhood","original_rank","phone","phoneIsd","photo","photoCount","placeId","priceRange","priceRangeText","providerId","rating","reviewCount","searchLocation","searchTerm","shortDescription","social/facebook/0","social/instagram/0","social/linkedin/0","social/twitter/0","social/youtube/0","state","status","street","timestamp","uncertain_emails/0","uncertain_emails/1","uncertain_emails/2","uncertain_emails/3","uncertain_emails/4","uncertain_emails/5","uncertain_emails/6","url","website","website_emails/0","website_emails/1","website_emails/2","website_emails/3","website_emails/4","website_emails/5","website_emails/6","website_emails/7","zip"
"Wheelchair accessible seating","Wheelchair accessible restroom",,,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly","Identifies as women-owned",,,,,,,"Jana Henryka Dąbrowskiego 553, 60-451 Poznań, Poland","Accounting firm","Accountant","Auditor","Bookkeeping service","Tax consultant","Tax preparation",,,,"3624049052990834205","Poznań","PL","us","United States","11","0x470444e96dac4b5f:0x324b3569a41c061d","Yes","en","English","52.4339314","","16.79967","Biuro Rachunkowe Poznań 👑 Noblesse","Jeżyce, Poznań","11","61 842 68 40","+48 61 842 68 40","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerNsshYLrGfs9CMxVdzYR15dgeKa3lVcopNDg15GZxFOrpjg7OGvC9laBb62wbMjG2ytAAP_rJw_8Sei-1lACrMhFcwzxcEN-xcyEfYZBnsyLtbUy3CFf_jbntXK2pSUY2icw=w6720-h4480-k-no","40","nkmoadSwFLKjptQP5ay_mQM","","","/g/1td0f5_1","4.9","60","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Jana Henryka Dąbrowskiego 553","2026-03-04 16:02:54.898201",,,,,,,,"https://google.com/maps?cid=3624049052990834205","https://noblesse.com.pl",,,,,,,,,"60-451"
"Wheelchair accessible entrance",,,,,,,,,,,,"Onsite services","Online appointments","Kamienicka 11, 60-164 Poznań, Poland","Bookkeeping service","Accounting firm",,,,,,,,"2860132865285517867","Poznań","PL","us","United States","12","0x4704451761cf7a37:0x27b13baff5c3722b","Yes","en","English","52.3797547","","16.8506592","Wikom Biuro Rachunkowe","Grunwald","12","61 863 02 81","+48 61 863 02 81","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep0eIxGXg0TYHZDTdYAdRjjT--wyRsVHNjem4AXnS8eTUA6TVYq5YzhnSxi0j8f9jqeAH8z4xUOv8vnVtvSa_lVn4TcqEG7cGy7o6MmQhi1t0XFuWPHRN3lyfdhzl7xaDhOkyXj0A=w1000-h667-k-no","5","nkmoadSwFLKjptQP5ay_mQM","","","/g/1tnqfpkv","4.8","28","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Kamienicka 11","2026-03-04 16:02:54.898226","kontakt@vbiuro.com","biuro@bsie.waw.pl","leszek@bsie.waw.pl",,,,,"https://google.com/maps?cid=2860132865285517867","https://wikombiuro.pl","wikom@wikombiuro.pl",,,,,,,,"60-164"
,,,,,,,"Identifies as women-owned",,,,,"Onsite services","Online appointments","Międzychodzka 2/8, 60-371 Poznań, Poland","Bookkeeping service",,,,,,,,,"4808026243770998178","Poznań","PL","us","United States","13","0x2ba12d93a5b8b375:0x42b98a650ab9dda2","Yes","en","English","52.4048241","","16.878209599999998","Biuro Rachunkowe MS Monika Stefaniak Poznań","Grunwald","13","503 553 249","+48 503 553 249","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerrdPELjUubmkTbZRbBJdxf-ehyRq1dORHcUncr2OuvmfzxEvuSAsTTS3DRGGGNHG2gAOoPh5PZXINMHxXzREDz__dXUZbnWZQi6DxocoDDOtwcBElGzWPNBumwyZL_C6fV9kss=w1200-h1041-k-no","4","nkmoadSwFLKjptQP5ay_mQM","","","/g/11x1xx826t","5","31","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Międzychodzka 2/8","2026-03-04 16:02:54.898256",,,,,,,,"https://google.com/maps?cid=4808026243770998178","https://biurorachunkowems.pl",,,,,,,,,"60-371"
"Wheelchair accessible entrance",,,,,,,"Identifies as women-owned","Free street parking",,,,,,"Skawińska 40, 61-333 Poznań, Poland","Accounting firm","Accountant","Bookkeeping service","Certified public accountant","Tax preparation service",,,,,"5130588311811740684","Poznań","PL","us","United States","14","0x47044546264850a1:0x473382e2f64f540c","Yes","en","English","52.3397213","","16.928699599999998","Biuro Rachunkowe Wera","Nowe Miasto","14","783 015 011","+48 783 015 011","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepIT065lszbm-t822vmni7ZMu8FiQdtI1ECnKmNauCDKGlh8XuMh0rG32f_u1GQdBE3rbEcZkPehe-NHCwAcz7w1-Z2wn24umASjWgmiev5tKSbwvFvE72LzglCwuvfbGWrHmCyNg=w1702-h630-k-no","4","nkmoadSwFLKjptQP5ay_mQM","","","/g/11y1s4wcb","4.8","21","Poznan, Polska","usługi księgowe","","https://facebook.com/biuro.rachunkowe.poznan",,,"https://twitter.com/biurowera",,"","Open","Skawińska 40","2026-03-04 16:02:54.898282","contact@hurtowniawera.com","sklep@hurtowniawera.pl","poland.support@digikey.com",,,,,"https://google.com/maps?cid=5130588311811740684","https://wera360.pl",,,,,,,,,"61-333"
"Wheelchair accessible seating",,,,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly",,,,,,"Onsite services","Online appointments","Piekary 19/lok. 201, 61-823 Poznań, Poland","Tax preparation service",,,,,,,,,"6301119467730893576","Poznań","PL","us","United States","15","0x47045b8a6263545b:0x577212c56965fb08","Yes","en","English","52.405134999999994","","16.9271522","Taxeo Accounting Office Poznań - Accounting Poznań","Stare Miasto","15","22 382 58 00","+48 22 382 58 00","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoC6jQpwiJXdD_uBnjWoVvaycravI0ZoBrg5YxUL_2-v2lX0QHMtTl2lVUVIuPDCSpkx0lKWp-tnATD594nv8193zqtDg9nsCCtG940VLM48c15ZsqiZm-2LWrJEg_sxL-nNXWH=w663-h510-k-no","17","nkmoadSwFLKjptQP5ay_mQM","","","/g/11vsd1x5nb","5","22","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Piekary 19/lok. 201","2026-03-04 16:02:54.898310",,,,,,,,"https://google.com/maps?cid=6301119467730893576","https://gdansk.taxeo.pl",,,,,,,,,"61-823"
"Wheelchair accessible entrance",,,,"Gender-neutral restroom",,,"Identifies as women-owned",,,,,"Onsite services",,"Perzycka 22, 60-182 Poznań, Poland","Accounting firm","Accountant","Bookkeeping service","Legal services","Tax consultant","Tax preparation","Tax preparation service",,,"12775354338054249193","Poznań","PL","us","United States","16","0x47044448e60d6e55:0xb14b2d156f781ae9","Yes","en","English","52.411921199999995","","16.8187704","Taxodus Biuro Księgowe Poznań Ławica Biuro Rachunkowe - Księgowość Kadry i Płace","Grunwald","16","537 700 174","+48 537 700 174","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqt4deCLpWyjA-qz-vhzt-NQQGrYrMog5-dgHzODgM7zE0tHTzDfzkiepUcDs_2S5_J-KRejc4e9Vm5uCwAq35RmHGlJuQSX85wq2WJROZYw7Ad5SZ0XIYYh_EZpjqlhm1YSA=w2121-h1414-k-no","15","nkmoadSwFLKjptQP5ay_mQM","","","/g/11ckqn8_n4","4.9","31","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Perzycka 22","2026-03-04 16:02:54.898336","sekretariat@taxodus.pl",,,,,,,"https://google.com/maps?cid=12775354338054249193","https://taxodus.pl",,,,,,,,,"60-182"
,,,,,,,"Identifies as women-owned",,,,,,,"Naramowicka 152a, 61-619 Poznań, Poland","Accounting firm","Accountant",,,,,,,,"5050865965191306283","Poznań","PL","us","United States","17","0x47045d1827e6b30b:0x461847d5af569c2b","No","en","English","52.4468621","","16.9478082","JP Joanna Niedworok-Nowak","Stare Miasto","17","609 804 676","+48 609 804 676","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FabPOnEiWPHg4eO_mbx4Gw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=99.85184&pitch=0&thumbfov=100","1","nkmoadSwFLKjptQP5ay_mQM","","","/g/11h5_vhvwm","4.8","16","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Naramowicka 152a","2026-03-04 16:02:54.898358",,,,,,,,"https://google.com/maps?cid=5050865965191306283","https://ibiurorachunkowe.net","biuro@ibiurorachunkowe.net",,,,,,,,"61-619"
"Wheelchair accessible entrance","Wheelchair accessible parking lot",,,,,,,,,,,,,"Wenecjańska 7/1, 61-101 Poznań, Poland","Accountant","Bookkeeping service","Certified public accountant","Tax preparation service",,,,,,"3380768443300021004","Poznań","PL","us","United States","18","0x47045b4ad5392341:0x2eeae6fcb2bf830c","Yes","en","English","52.4092013","","16.941486299999998","Kancelaria Rachunkowa Denarius Sp. z o.o.","Stare Miasto","18","797 590 205","+48 797 590 205","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepfOrUd25h5clSS_qDcIm4qWZ-xAZTCXi1WEHH33HUQoWvkA7lef9AtLBZLL_Xi_umCK6P3atgRelU_P_Kx9eOHT-AMRk9LA9JTC6OxCMOODO3FDeAMkfALyauIyuTgwi8qFrpb=w3024-h4032-k-no","5","nkmoadSwFLKjptQP5ay_mQM","","","/g/1pp2txvw3","4.9","33","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Wenecjańska 7/1","2026-03-04 16:02:54.898380",,,,,,,,"https://google.com/maps?cid=3380768443300021004","https://denarius.com.pl",,,,,,,,,"61-101"
"Wheelchair accessible seating","Wheelchair accessible entrance","Wheelchair accessible restroom",,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly","Identifies as women-owned","Paid parking lot",,,,"Onsite services",,"Centrum Biurowe, Winogrady, Gronowa 22/117, 61-655 Poznań, Poland","Accounting firm","Accountant","Bookkeeping service","Income tax help association","Tax preparation","Tax preparation service",,,,"4340081207709606124","Poznań","PL","us","United States","19","0x470444aad5999ae7:0x3c3b10dd19e120ec","Yes","en","English","52.430121199999995","","16.9345206","Business Profit Biuro Rachunkowe","Stare Miasto","19","663 944 465","+48 663 944 465","https://lh3.googleusercontent.com/gps-cs-s/AHVAweq16JLbmfINF5zG4UZ4POwARX5TCaR4wQoJRhv2ggkugcNa_sULj818d5yCLsTEokinp-blZiWpyQ4nGMR3I2No8D-vee-NM7_2-FNpiFYqPaf5g5lX9w_s-OQwT3-OPBGBO8s=w960-h796-k-no","8","nkmoadSwFLKjptQP5ay_mQM","","","/g/11b6jk3hgt","5","43","Poznan, Polska","usługi księgowe","","https://www.facebook.com/biuro.profit.poznan/",,,,,"","Open","Centrum Biurowe, Winogrady, Gronowa 22/117","2026-03-04 16:02:54.898411","admin@eacd.org","honorata@amu.edu.pldominika","wojciech.rosikiewicz@stjude.org",,,,,"https://google.com/maps?cid=4340081207709606124","https://profit-poznan.pl","biuro@profit-poznan.pl",,,,,,,,"61-655"
,,,,,,,,,,,,,,"Słoneczna 12, 62-081 Baranowo, Poland","Bookkeeping service","Accountant",,,,,,,,"13905995584532304733","Baranowo","PL","us","United States","20","0x4704471a80699005:0xc0fc054e9832d35d","Yes","en","English","52.4362518","","16.796924","Biuro rachunkowe KAIZEN Mateusz Bączyk - Księgowy, Księgowość Poznań","","20","667 117 377","+48 667 117 377","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep9tp43RE-Ms2NEPTQFzy7d15DNN0DPzchW__DpmJdWayMGGUQSsjQFmKWA-aTuYlDHji8DNjU4jt_5Ti4x5LW9NcnHZ9l1aYFSBwLids07xr1hs3AaXCGAL8_Mnbt248Y-e9G8Dg=w1440-h1080-k-no","7","nkmoadSwFLKjptQP5ay_mQM","","","/g/11hdykrths","4.8","19","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Słoneczna 12","2026-03-04 16:02:54.898431",,,,,,,,"https://google.com/maps?cid=13905995584532304733","https://biuro-kaizen.pl",,,,,,,,,"62-081"
"Wheelchair accessible seating",,,,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly","Identifies as women-owned","Paid street parking",,,,"Onsite services",,"Przemysłowa 46A/6U, 61-541 Poznań, Poland","Accounting firm","Accountant","Bookkeeping service","Business to business service","Payroll service",,,,,"15581496695228065283","Poznań","PL","us","United States","21","0x47045b2665b149db:0xd83c98b0a3fde603","Yes","en","English","52.395914499999996","","16.9183383","Biuro Rachunkowe EKONOMIK","Wilda, Poznań","20","602 330 036","+48 602 330 036","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZA4FH3Vl-kSGG2_TUbrozvW3Dpm2W8sXocQK9i3owcWAQ9w7bcXTD5VOpCQhaxNuQO2D3CGoLwUun1nhvenrsr-qoWqRaCovxCfy41nMI_17u9174bfO1xOCYlY3Tn_JQD3xlZaBOtOA=w1600-h1200-k-no","4","nkmoacXJE72mptQPouOWMA","","","/g/1tdz3j7h","4.9","37","Poznan, Polska","usługi księgowe","","https://www.facebook.com/people/ekonomik-biuro-rachunkowe/61578006587125/#","https://www.instagram.com/ekonomikbiurorachunkowe/",,,"https://www.youtube.com/channel/ucqdi4dm-zwterxe0ofifb2q","","Open","Przemysłowa 46A/6U","2026-03-04 16:02:54.953445","katarzyna.suminska@macmillan.pl","sekretariat@wsei.lublin.pl",,,,,,"https://google.com/maps?cid=15581496695228065283","https://ekonomiksc.pl","biuro@ekonomiksc.pl",,,,,,,,"61-541"
