"additionalInfo/info/Accessibility/0","additionalInfo/info/Accessibility/1","additionalInfo/info/Accessibility/2","additionalInfo/info/Accessibility/3","additionalInfo/info/Amenities/0","additionalInfo/info/Crowd/0","additionalInfo/info/Crowd/1","additionalInfo/info/From the business/0","additionalInfo/info/Parking/0","additionalInfo/info/Parking/1","additionalInfo/info/Planning/0","additionalInfo/info/Planning/1","additionalInfo/info/Service options/0","additionalInfo/info/Service options/1","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","cid","city","country","country_code","country_name","display_rank","gid","isClaimed","language_code","language_name","latitude","longDescription","longitude","name","neighborhood","original_rank","phone","phoneIsd","photo","photoCount","placeId","priceRange","priceRangeText","providerId","rating","reviewCount","searchLocation","searchTerm","shortDescription","social/facebook/0","social/instagram/0","social/linkedin/0","social/twitter/0","social/youtube/0","state","status","street","timestamp","uncertain_emails/0","uncertain_emails/1","uncertain_emails/2","uncertain_emails/3","uncertain_emails/4","uncertain_emails/5","uncertain_emails/6","url","website","website_emails/0","website_emails/1","website_emails/2","website_emails/3","website_emails/4","website_emails/5","website_emails/6","zip"
,,,,,,,,,,,,,,"Mostowa 39/3, 61-854 Poznań, Poland","Accounting firm",,,,,,,,,"9701987857319556621","Poznań","PL","us","United States","11","0x47045b40765bffff:0x86a4628d8aaf760d","Yes","en","English","52.4076056","","16.9388462","Biuro Rachunkowe M-Team","Stare Miasto","50","503 132 350","+48 503 132 350","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoYgzbhxn9mXO9akep06vunsm1zds_Dv2Ef2Ue90eDUUSFtWm6lXR3iq_X7v90OCoq4BrbDEyF73ThjSFfhyKN5DUQkqWxehEe5zcT4gHP3z5mNEGTfu2cOKjd7Fh_WLUDj_sc=w1476-h1476-k-no","2","yU-oabbmB7KjptQP5ay_mQM","","","/g/11fm163pk7","5","12","Poznan, Polska","księgowość","",,,,,,"","Open","Mostowa 39/3","2026-03-04 16:29:13.886365",,,,,,,,"https://google.com/maps?cid=9701987857319556621","https://m-team-biurorachunkowe.pl",,,,,,,,"61-854"
"Wheelchair accessible seating","Wheelchair accessible restroom",,,"Restroom",,,,,,,,,,"Półwiejska 17/23, 61-885 Poznań, Poland","Tax preparation",,,,,,,,,"13518479638853511638","Poznań","PL","us","United States","12","0x47045b58cc85db65:0xbb9b499b8936e9d6","Yes","en","English","52.4032725","","16.9301332","Kancelaria Podatkowa Andrzej Nowak Sp. z o.o.","Stare Miasto","51","690 105 827","+48 690 105 827","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoqw0sACb0CxYW1yHL2R5aj785gXyE5Rr-k1y_dYZZ_PvHTXoo3cYe_BYMXk9bZhsylWNVGZ8SkqsfT3jRDa_hqQz474Amfhj8cBpKC2ldV4kAwHfEW53TwseILAYKGuiJYXmbP=w1365-h2048-k-no","12","yU-oabbmB7KjptQP5ay_mQM","","","/g/11mw8kn1t9","4.8","77","Poznan, Polska","księgowość","",,,,,,"","Open","Półwiejska 17/23","2026-03-04 16:29:13.886384",,,,,,,,"https://google.com/maps?cid=13518479638853511638","https://anowak.com.pl",,,,,,,,"61-885"
,,,,,,,"Identifies as women-owned",,,,,,,"Osiedle Zwycięstwa 9/54, 61-646 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service",,,,,,,"990261915637470193","Poznań","PL","us","United States","13","0x470443f5362a5c6f:0xdbe1df7342b53f1","Yes","en","English","52.4378306","","16.9277762","Księgowa Ewa Wojciechowska","Stare Miasto","52","606 553 563","+48 606 553 563","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepPg7HDOus9BvBnTpahVj4Zzov1o2TvW4v03wmKNjoDeLIswdCkvOntuEjy0zEkUdnohIviRAaYDWkbFwjKF816JlUQvsJNCzqmi4jzgGc1r9D-Olx4lpgTG47o4spEPPtoZKcv-w=w4016-h6016-k-no","9","yU-oabbmB7KjptQP5ay_mQM","","","/g/11fb0t11rv","5","4","Poznan, Polska","księgowość","",,,,,,"","Open","Osiedle Zwycięstwa 9/54","2026-03-04 16:29:13.886397",,,,,,,,"https://google.com/maps?cid=990261915637470193","https://ksiegowa-sowa.pl",,,,,,,,"61-646"
"Wheelchair accessible entrance",,,,,"Transgender safespace","LGBTQ+ friendly",,"Free parking lot","On-site parking","Appointment required","Appointments recommended","Onsite services","Online appointments","Bosa 4/6/lok. 24, 60-125 Poznań, Poland","Chartered accountant","Accountant","Accounting firm","Bookkeeping service","Business development service","Business to business service","Tax consultant",,,"11738962848978879838","Poznań","PL","us","United States","14","0x4704452dc6d56859:0xa2e92c83f4e4c55e","Yes","en","English","52.3839998","","16.8879537","Kancelaria Gospodarcza Szatkowscy i Wspólnicy Sp. z o.o.","Grunwald","53","61 663 32 27","+48 61 663 32 27","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoadgrxH5TUGBXAMFa92x7xLIH2_FifARwf_wpZHQYJoWFxahhVG9_vgH2wfv69XP84GPEn5nRIbRbDSejDomWBUCIg9cHQhCljtxXtQnziiOnwBvx64rj-HsV388KQTIncCjAT=w4032-h3024-k-no","49","yU-oabbmB7KjptQP5ay_mQM","","","/g/11bwyll11l","4.9","31","Poznan, Polska","księgowość","",,,,,,"","Open","Bosa 4/6/lok. 24","2026-03-04 16:29:13.886417",,,,,,,,"https://google.com/maps?cid=11738962848978879838","https://kancelariagospodarcza.pl",,,,,,,,"60-125"
"Wheelchair accessible entrance",,,,,,,,,,"Appointment required",,"Onsite services","Online appointments","Jaworowa 47/3, 61-453 Poznań, Poland","Bookkeeping service",,,,,,,,,"8855418582831201794","Poznań","PL","us","United States","15","0x470445361c2b7e5b:0x7ae4c448770bfe02","Yes","en","English","52.368575899999996","","16.905257499999998","Biuro Rachunkowe Atoran","Wilda, Poznań","54","502 546 806","+48 502 546 806","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerANDAIzr37wmdKlB8UnsqK6CrPEaxKAC5yGVD5f9LhbCyat3jbnZQgWPMFusuqKIYH5PM_trCahrz_qZXkD8spFeSaeRdEskD2IyQO095soTR7uByGqCbxCmHw0uoUkED7Y_jKkaEOm-GA=w1200-h800-k-no","19","yU-oabbmB7KjptQP5ay_mQM","","","/g/1pty7l0j1","4.7","12","Poznan, Polska","księgowość","","https://www.facebook.com/profile.php?id=61576894697334",,,,"https://www.youtube.com/embed/geivl0_hb_a","","Open","Jaworowa 47/3","2026-03-04 16:29:13.886430","info@accelercomm.com","liberkowska@atoran.pl","care@1mg.com",,,,,"https://google.com/maps?cid=8855418582831201794","https://atoran.pl",,,,,,,,"61-453"
,,,,,,,,,,,,"Onsite services",,"Droga Dębińska 13/9, 61-555 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Tax preparation","Tax preparation service",,,,,"7022313609937198748","Poznań","PL","us","United States","16","0x47045b8e96cb5f55:0x61744505bdb29e9c","Yes","en","English","52.396679","","16.9345499","Biuro Rachunkowe Clear Finance Sp. z o.o.","Wilda, Poznań","55","533 854 335","+48 533 854 335","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoy0T3ewyRmtJq7P14s1kumpE0yIYkwVvvGb7dPF7LCebfZaMbgJW4l9CiBOQl5TTsHD4Ff4XkPrX6nRMJMC1VS3bHSHpOsag3knYt7O6-bT_3cNmXdOVG2VgnY9JJp1WWvU-k=w4032-h3024-k-no","6","yU-oabbmB7KjptQP5ay_mQM","","","/g/11jr9jpl76","5","7","Poznan, Polska","księgowość","",,,,,,"","Open","Droga Dębińska 13/9","2026-03-04 16:29:13.886442",,,,,,,,"https://google.com/maps?cid=7022313609937198748","https://clearfinance.com.pl",,,,,,,,"61-555"
,,,,,,,,"Paid street parking","Paid parking garage",,,"Onsite services",,"Ulica Karola Libelta 1A, 61-706 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Tax consultant","Tax preparation",,,,,"10691589210664888296","Poznań","PL","us","United States","17","0x47045bd48308c4d3:0x946027bd9a1467e8","Yes","en","English","52.4099564","","16.9234278","Sobieraj i Kuźmin Sp. z o.o. Biuro rachunkowe Poznań - KSIĘGOWOŚĆ | KADRY | DORADZTWO PODATKOWE","Stare Miasto","56","61 877 51 11","+48 61 877 51 11","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-qfhHx8oI19KFnDa2cHsJw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=234.23859&pitch=0&thumbfov=100","1","yU-oabbmB7KjptQP5ay_mQM","","","/g/11qnqtvv87","5","24","Poznan, Polska","księgowość","","https://www.facebook.com/profile.php?id=100054428503272",,"https://www.linkedin.com/company/sobieraj-i-ku%c5%bamin-sp%c3%b3%c5%82ka-doradztwa-podatkowego",,,"","Open","Ulica Karola Libelta 1A","2026-03-04 16:29:13.886455",,,,,,,,"https://google.com/maps?cid=10691589210664888296","https://doradztwopodatkowe-sik.pl","biuro@doradztwopodatkowe-sik.pl",,,,,,,"61-706"
"Wheelchair accessible restroom",,,,"Gender-neutral restroom",,,,"Free street parking",,,,,,"Promienista 142, 60-142 Poznań, Poland","Bookkeeping service",,,,,,,,,"927157021831109522","Poznań","PL","us","United States","18","0x4704452307f17e2d:0xcddec6629409b92","Yes","en","English","52.3876073","","16.8685301","BIURO KSIĘGOWE","Grunwald","57","535 035 053","+48 535 035 053","https://lh3.googleusercontent.com/gps-cs-s/AHVAwers88m4yz954qt19V3A6dO1faKIaYmyciQvEsKf9yJK9RQ2bSD9bVQLGxWXgxYpovVO_nCMRHGCKvjHoRnWKREShTot3fw5SFJU7gz_7kz9rEXoldXAii-buBExhY4zLpkO1uwK=w2992-h4000-k-no","4","yU-oabbmB7KjptQP5ay_mQM","","","/g/11c529b2qk","5","17","Poznan, Polska","księgowość","",,,,,,"","Open","Promienista 142","2026-03-04 16:29:13.886469","biuro@mksalvia.pl","kontakt@businessmilestones.pl","info@pro-accountingoffice.co.uk","afo@afo.pl","biuro@flex-ksiegowosc.pl",,,"https://google.com/maps?cid=927157021831109522","https://ksiegowo.com.pl",,,,,,,,"60-142"
,,,,,,,,,,"Appointment required",,"Onsite services","Online appointments","Osiedle Zwycięstwa 7, domofon 160, 61-645 Poznań, Poland","Accountant","Accounting firm",,,,,,,,"7599970751365498274","Poznań","PL","us","United States","19","0x47045b3713bae843:0x69788521ca7fc5a2","Yes","en","English","52.442208","","16.9278764","Fineko. Accounting Poznan","Stare Miasto","58","697 162 826","+48 697 162 826","https://lh3.googleusercontent.com/gps-cs-s/AHVAwergf_BtuEWxuwENQdsesYIDgIih2AOLE-Rwlv-TsD89843WAXzIPmLkl6Eo32atlWhFmWk3jUs4yj75pU7h21o1BFC3NZtShymjy67JLDDRF-rElGa7kB0M4Ev0jxOkXx1LUwqS=w1047-h1050-k-no","5","yU-oabbmB7KjptQP5ay_mQM","","","/g/1hhlsgvpf","5","13","Poznan, Polska","księgowość","",,,,,,"","Open","Osiedle Zwycięstwa 7, domofon 160","2026-03-04 16:29:13.886483",,,,,,,,"https://google.com/maps?cid=7599970751365498274","https://fineko.com.pl",,,,,,,,"61-645"
,,,,,,,,,,,,,,"Babimojska 11, 60-161 Poznań, Poland","Accountant",,,,,,,,,"9473584760391156953","Poznań","PL","us","United States","20","0x4704451ed83cd85d:0x8378ef2578ab44d9","No","en","English","52.3920519","","16.8621368","Centrum Usług Rachunkowych - Anna Kuźniarek","Grunwald","59","61 862 86 46","+48 61 862 86 46","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dXWF38GVF_8hPI6xX6iENg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=236.29272&pitch=0&thumbfov=100","1","yU-oabbmB7KjptQP5ay_mQM","","","/g/1tmpj6dr","5","2","Poznan, Polska","księgowość","",,,,,,"","Open","Babimojska 11","2026-03-04 16:29:13.886495","info@centrumrachunkowe.pl",,,,,,,"https://google.com/maps?cid=9473584760391156953","https://centrumrachunkowe.poznan.pl","biuro@centrumrachunkowe.poznan.pl",,,,,,,"60-161"
"Wheelchair accessible restroom","Wheelchair accessible seating","Wheelchair accessible entrance","Wheelchair accessible parking lot","Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly",,"Paid street parking","Paid parking lot",,,"Onsite services",,"Strzelecka 29A/lok.39, II Piętro, 61-846 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service",,,,,,,"8008769734804174271","Poznań","PL","us","United States","21","0x47045be7b344defb:0x6f24dda43ae6f5bf","Yes","en","English","52.402579499999995","","16.934635999999998","Certyfikowane Biuro Rachunkowe RZIS.pl","Stare Miasto","0","667 009 907","+48 667 009 907","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqxI42jQEC1PNo5h-fNrjnGzOtmcKdgvC7Mna7uIljl6yugn02yRsSqPczhnwhcC9FjiZRr7uZywAQO1-Jir2rnuAo6ZO4fEiW8-MVGpy8Ral3KvswewVXn3n2NawmxRHJ7Gvx0=w4608-h3456-k-no","8","yU-oadvoCPPaptQP_aXygQE","","","/g/11y46ngtpc","4.9","159","Poznan, Polska","księgowość","","https://www.facebook.com/rzispl",,,,,"","Open","Strzelecka 29A/lok.39, II Piętro","2026-03-04 16:29:13.911600","iod@m3mcom.pl","kontakt@funduszfilar.pl","dburke@libertyvillageny.org","biuro@strategodk.pl","info@infakt.pl",,,"https://google.com/maps?cid=8008769734804174271","https://rzis.pl","kontakt@rzis.pl",,,,,,,"61-846"
"Wheelchair accessible entrance",,,,,"LGBTQ+ friendly",,,,,,,"Onsite services",,"Potockiej 25, 60-211 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Certified public accountant","Virtual office rental",,,,,"2720988474387891732","Poznań","PL","us","United States","22","0x47044574864651ef:0x25c2e499ddd28614","Yes","en","English","52.391156699999996","","16.8969976","FakturTax biuro rachunkowe Poznań","Grunwald","1","501 264 565","+48 501 264 565","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoVM-TPnBSwNi0nlCKZsdPuRJZuSITwo7CbXpilxql06HAm3_v1Z5kcAn-PNrKevpjxvLG9l6HTKtbtDK-jNjWD5qUcyjkN3lqppczhWVKJYUB95EVWQXuO1OFfSNoZ4M_yb7sN9GGXGai8=w2048-h2048-k-no","74","yU-oadvoCPPaptQP_aXygQE","","","/g/11h0333ljw","4.9","216","Poznan, Polska","księgowość","",,,,,,"","Open","Potockiej 25","2026-03-04 16:29:13.911695","filip@fakturtax.pl","anisanurmaulidya1@gmail.com",,,,,,"https://google.com/maps?cid=2720988474387891732","https://fakturtax.pl","kontakt@fakturtax.pl",,,,,,,"60-211"
