imie,numer,strona,social_media,ulica,email,url
AWM Zarządzanie Rachunkowością Spółka z o.o.,61 662 44 87,https://awmzr.pl,,Grodziska 37,biuro@awmzr.pl,https://google.com/maps?cid=16816275155863512957
ASCS-Consulting Biuro Rachunkowe,61 102 04 00,https://ascs-consulting.pl,,"Rubież 46, C4/87",biuro@ascs-consulting.pl,https://google.com/maps?cid=9320612674179228551
OPTIMUM - Accounting Office Poznan,692 247 448,https://optimumbiuro.com.pl,,Bosa 12a/5,optimum@optimumbiuro.com.pl,https://google.com/maps?cid=3051899717962065212
Kancelaria Podatkowa Andrzej Nowak Sp. z o.o.,690 105 827,https://anowak.com.pl,,Półwiejska 17/23,biuro@anowak.com.pl,https://google.com/maps?cid=13518479638853511638
Biuro Rachunkowe EKONOMIK,602 330 036,https://ekonomiksc.pl,https://www.facebook.com/people/ekonomik-biuro-rachunkowe/61578006587125/# | https://www.instagram.com/ekonomikbiurorachunkowe/ | https://www.youtube.com/channel/ucqdi4dm-zwterxe0ofifb2q,Przemysłowa 46A/6U,biuro@ekonomiksc.pl,https://google.com/maps?cid=15581496695228065283
Biuro Rachunkowe Merito Poznań,735 158 813,https://biuromerito.pl,,Powstańców Wielkopolskich 16/921,kontakt@biuromerito.pl,https://google.com/maps?cid=1853575879745537646
Spectrum Biuro Rachunkowe,519 642 268,https://biuro-spectrum.pl,,Pamiątkowa 2/35,kontakt@biuro-spectrum.pl,https://google.com/maps?cid=18237214621578844101
Kancelaria Usług Księgowych Tyniec & Partnerzy,883 753 345,https://kancelariatyniec.pl,,Wodna 15/11,biuro@kancelariatyniec.pl,https://google.com/maps?cid=5332473471663867816
Biuro Rachunkowe Poznań DRD 📖,61 830 92 70,https://drd.pl,,Głogowska 277,biuro@drd.pl,https://google.com/maps?cid=2858768326256688791
Biuro Rachunkowe Stefańska Anna,61 834 30 50,https://biurorachunkowe-stefanska.pl,,Grunwaldzka 149,annast@op.pl | anna.stefanska.biuro@gmail.com,https://google.com/maps?cid=17893026842482319202
FakturTax biuro rachunkowe Poznań,501 264 565,https://fakturtax.pl,,Potockiej 25,filip@fakturtax.pl | kontakt@fakturtax.pl,https://google.com/maps?cid=2720988474387891732
Certyfikowane Biuro Rachunkowe RZIS.pl,667 009 907,https://rzis.pl,https://www.facebook.com/rzispl,"Strzelecka 29A/lok.39, II Piętro",kontakt@rzis.pl,https://google.com/maps?cid=8008769734804174271
"Biuro Rachunkowe Poznań ""KZ""",61 291 71 98,https://brkz.pl,,Grunwaldzka 112,biuro@brkz.pl,https://google.com/maps?cid=6574154923815419146
Biuro rachunkowe ATP,604 087 850,https://atpksiegowosc.pl,,Święty Marcin 29/8,,https://google.com/maps?cid=6368642601112662508
Biuro Rachunkowe Value Business - Księgowość,784 920 193,https://valuebusiness.pl,https://www.facebook.com/sharer.php?u=https%3a%2f%2fwww.valuebusiness.pl%2fco-zyskujesz%2f | https://twitter.com/intent/tweet?text=co%20zyskujesz%20?&#038;url=https%3a%2f%2fwww.valuebusiness.pl%2fco-zyskujesz%2f,Promienista 62/4,biuro@valuebusiness.pl,https://google.com/maps?cid=1740941729263870881
Business Profit Biuro Rachunkowe,663 944 465,https://profit-poznan.pl,https://www.facebook.com/biuro.profit.poznan/,"Centrum Biurowe, Winogrady, Gronowa 22/117",biuro@profit-poznan.pl,https://google.com/maps?cid=4340081207709606124
Biuro Rachunkowe TAXO,61 307 01 77,https://taxo-acc.pl,https://www.facebook.com/taxoacc | https://www.linkedin.com/company/taxoacc/,Szkolna 5/18,kontakt@taxo-acc.pl,https://google.com/maps?cid=16647423895022108182
Biuro Rachunkowe Poznań 👑 Noblesse,61 842 68 40,https://noblesse.com.pl,,Jana Henryka Dąbrowskiego 553,biuro@noblesse.com.pl,https://google.com/maps?cid=3624049052990834205
Biuro Rachunkowe - Podatkowe Zacisze,500 276 004,https://podatkowezacisze.pl,,Mławska 11,biuro@podatkowezacisze.pl,https://google.com/maps?cid=191621486762362956
Biuro Rachunkowe BRKM,604 179 541,https://brkm.com.pl,,Strzelecka 29A,kontakt@brkm.com.pl,https://google.com/maps?cid=14346577789574688851
Taxeo Accounting Office Poznań - Accounting Poznań,22 382 58 00,https://gdansk.taxeo.pl,,Piekary 19/lok. 201,,https://google.com/maps?cid=6301119467730893576
AK-PLUS Biuro Rachunkowe Anna Klupczyńska,601 781 634,https://biurorachunkowe-poznan.eu,,Bogusławskiego 30/5,kontakt@biurorachunkowe-poznan.eu | biuro@biurorachunkowe-poznan.eu,https://google.com/maps?cid=15065432835462475823
Biuro Rachunkowe Dino,61 862 27 86,https://dino.poznan.pl,,Dziewińska 74,,https://google.com/maps?cid=10790724569612056047
Biuro Rachunkowe INFINITUM księgowość e-commerce,504 227 204,https://infinitum-biurorachunkowe.pl,,Os. na Murawie 8N/lok. 1,biuro@infinitum-biurorachunkowe.pl,https://google.com/maps?cid=11061511486533646120
Biuro Rachunkowe Wera,783 015 011,https://wera360.pl,,Skawińska 40,jan@gmail.com,https://google.com/maps?cid=5130588311811740684
Biuro Rachunkowe PIT,61 822 63 97,https://pitbiuro.pl,,os. Bolesława Chrobrego 39/112,biuro@pitbiuro.pl,https://google.com/maps?cid=12421868855685055476
Biuro rachunkowe Poznań Nowoczesne Systemy Finansowe,661 660 071,https://nsf.com.pl,,osiedle Rusa 54/9,lukasz.biernat@nsf.com.pl,https://google.com/maps?cid=1633526891867921110
Taxodus Biuro Księgowe Poznań Ławica Biuro Rachunkowe - Księgowość Kadry i Płace,537 700 174,https://taxodus.pl,,Perzycka 22,sekretariat@taxodus.pl,https://google.com/maps?cid=12775354338054249193
Biuro Rachunkowe MS Monika Stefaniak Poznań,503 553 249,https://biurorachunkowems.pl,,Międzychodzka 2/8,m.sienkowska@wp.pl,https://google.com/maps?cid=4808026243770998178
Biuro Rachunkowe Poznań - Ingenium Sp. z o.o.,517 230 852,https://br-ingenium.pl,https://www.facebook.com/privacy/,Wilczak 14A/214,info@br-ingenium.pl,https://google.com/maps?cid=6886557626039215992
Sobieraj i Kuźmin Sp. z o.o. Biuro rachunkowe Poznań - KSIĘGOWOŚĆ | KADRY | DORADZTWO PODATKOWE,61 877 51 11,https://doradztwopodatkowe-sik.pl,,Ulica Karola Libelta 1A,biuro@doradztwopodatkowe-sik.pl,https://google.com/maps?cid=10691589210664888296
Fineko. Accounting Poznan,697 162 826,https://fineko.com.pl,,"Osiedle Zwycięstwa 7, domofon 160",kancelaria@fineko.com.pl,https://google.com/maps?cid=7599970751365498274
TaxCoach Sp. z o.o. Biuro rachunkowe - KSIĘGOWOŚĆ | KADRY | PODATKI | ZARZĄDZANIE FINANSAMI | KONSULTING FINANSOWY,665 553 120,https://taxcoach.pl,,Wierzbięcice 44a/lok. 40A,ksiegowosc@taxcoach.pl,https://google.com/maps?cid=17872758480663917601
Mega Lex Corp.,731 317 777,https://megalex.pl,,Toruńska 7,kontakt@megalex.pl,https://google.com/maps?cid=17909870924395620156
Biuro Rachunkowe JW,665 106 769,https://biurorachunkowejw.pl,,Bychawska 17,biuro@biurorachunkowejw.pl,https://google.com/maps?cid=4797716992233208080
Grakon Sp. z o. o.,609 610 148,https://grakon.com.pl,,Jackowskiego 9,biuro@grakon.com.pl,https://google.com/maps?cid=8471618088016079548
Biuro rachunkowe MOLARD,518 049 002,https://molard.pl,,Półwiejska 45/4,biuro@molard.pl,https://google.com/maps?cid=4923982491761135839
Biuro Rachunkowe PUnKT Sp. z o.o.,514 533 315,https://brpunkt.pl,,"Andersia Business Centre, Pl. Władysława Andersa 7",biuro@brpunkt.pl,https://google.com/maps?cid=14543195920835710345
Biuro Rachunkowe M-Team,503 132 350,https://m-team-biurorachunkowe.pl,,Mostowa 39/3,kontakt@m-team-biurorachunkowe.pl,https://google.com/maps?cid=9701987857319556621
BIURO RACHUNKOWE DM SP. Z OO,502 497 149,,,Wagrowska 6,,https://google.com/maps?cid=16378479550635247748
Księgowy EXPERT,507 548 604,https://ksiegowyexpert.pl,,Zgoda 14/10,biuro@ksiegowyexpert.pl,https://google.com/maps?cid=11664572350052586182
Biuro rachunkowe - LK PROGRES Lucyna Kaczmarek,608 319 654,https://lkprogres.pl,,Jana Kochanowskiego 11/2A,lucyna@lkprogres.pl,https://google.com/maps?cid=6734646103682207015
Biuro rachunkowe Adler,533 321 741,https://biuroadler.pl,,Marcelińska 86,info@biuroadler.pl,https://google.com/maps?cid=5558606875532970201
Renata Pempera Biuro Rachunkowe,663 705 354,https://pempera.pl,,Szczepankowo 108,biuro@pempera.pl,https://google.com/maps?cid=9285125771964001447
G-TAX,608 640 562,https://g-tax.pl,,Ptasia 20B,biuro@g-tax.pl,https://google.com/maps?cid=7290774711526675184
Biuro Rachunkowe Agnieszka Miśkiewicz,509 099 518,https://br-miskiewicz.pl,,"I piętro, Biurowiec Sigma, Marcelińska 92",biuro@br-miskiewicz.pl,https://google.com/maps?cid=8961282069448678243
Marta Sowa,606 553 563,https://ksiegowa-sowa.pl,,Limanowskiego 21,biuro@ksiegowa-sowa.pl,https://google.com/maps?cid=12709133193309338127
PG Partner Gospodarczy | Poznań,536 169 066,https://partner-gospodarczy.pl,https://www.facebook.com/pg.partnergospodarczy | https://www.linkedin.com/company/partner-gospodarczy/,plac Wolności 18,bilans@partner-gospodarczy.pl | zapytania@partner-gospodarczy.pl | gdansk@partner-gospodarczy.pl | katowice@partner-gospodarczy.pl | krakow@partner-gospodarczy.pl | lodz@partner-gospodarczy.pl | poznan@partner-gospodarczy.pl,https://google.com/maps?cid=8342484576221328251
SmcTax,513 669 044,https://smctax.pl,,Ulica Karola Libelta 27/W4,,https://google.com/maps?cid=18080243295856534969
KANCELARIA RACHUNKOWA KMN PRESTIGE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,669 787 648,https://kmnprestige.pl,,Strzelecka 29A/39,,https://google.com/maps?cid=11952003219968864486
Biuro Rachunkowe Krzysztof Bejgerowski,61 821 50 21,https://brkb.pl,,Wysoka 5A/4,biuro@brkb.pl,https://google.com/maps?cid=7060121717844894294
Hencel biuro rachunkowe Poznań,797 335 345,,,Stęszewska 46,,https://google.com/maps?cid=3106199397132748382
Biuro Rachunkowe KMT Finance,503 074 732,https://kmtfinance.pl,,Jasielska 9/2,office@kmtfinance.pl,https://google.com/maps?cid=16152869361987526978
Invoice-Tax - Profesjonalne Biuro Rachunkowe w Poznaniu | Centrum Finansowe | Spółki | Doradztwo Podatkowe | Wirtualne Biuro,532 168 164,https://invoice-tax.pl,,Święty Marcin 11/4,biuro@invoice-tax.pl,https://google.com/maps?cid=18082595111850639897
AKAMA Dorota Wysocka,61 875 05 67,https://wysocka-biuro-rachunkowe.pl,,os. Jagiellońskie 114/1,aga.wysocka@poczta.onet.pl,https://google.com/maps?cid=2956923270749594996
Profit. Biuro rachunkowe,514 955 639,https://profitrachunki.pl,,osiedle Polan 32,biuro@profitrachunki.pl,https://google.com/maps?cid=8656253221011485451
"Kancelaria Podatkowa SAS TAX - Księgowość, Doradztwo i Kadry w jednym miejscu",504 968 218,https://sastax.pl,,Strzeszyńska 269,biuro@sastax.pl,https://google.com/maps?cid=897855170936163319
Biuro Rachunkowe PITOWNIK Aneta Śniatkowska,601 452 686,https://pitownik.pl,,Gen. T. Kutrzeby 16g/133,biuro@pitownik.pl,https://google.com/maps?cid=12236893525690458165
AMIDA. Biuro rachunkowe,501 975 440,https://biurorachunkowe-amida.pl,,Oświecenia 31a,kontakt@biurorachunkowe-amida.pl,https://google.com/maps?cid=1542590871524137214
"Biuro rozliczeń zagranicznych - zwrot podatku z zagranicy (Niemcy, Holandia, UK, Austria, Belgia)",61 828 81 02,https://cuf-podatki.pl,,Szelągowska 25/2-3,,https://google.com/maps?cid=6727799397650677027
bras7.pl Biuro Rachunkowe,61 852 00 77,https://bras7.pl,,Kutrzeby 16G/133,biuro.rachunkowe.sniatkowski@bras7.pl,https://google.com/maps?cid=10589796410946345858
Kancelaria Laurus sp. z o.o.,61 852 36 97,https://laurus.poznan.pl,,Wszystkich Świętych 5/4,biuro@laurus.poznan.pl,https://google.com/maps?cid=15712518596389624359
Kancelaria Gospodarcza Szatkowscy i Wspólnicy Sp. z o.o.,61 663 32 27,https://kancelariagospodarcza.pl,https://www.facebook.com/sharer/sharer.php?u=https://kancelariagospodarcza.pl/blog/kiedy-i-jak-mozna-odliczyc-koszty-uzyskania-przychodu-praktyczny-przewodnik-dla-przedsiebiorcow/ | https://www.instagram.com/kancelaria_gospodarcza/ | https://www.linkedin.com/sharearticle?url=https://kancelariagospodarcza.pl/blog/kiedy-i-jak-mozna-odliczyc-koszty-uzyskania-przychodu-praktyczny-przewodnik-dla-przedsiebiorcow/ | https://twitter.com/intent/tweet?text=https://kancelariagospodarcza.pl/blog/kiedy-i-jak-mozna-odliczyc-koszty-uzyskania-przychodu-praktyczny-przewodnik-dla-przedsiebiorcow/ | https://www.youtube.com/channel/uckxut-mxa1u6to0d3our-ka,Bosa 4/6/lok. 24,,https://google.com/maps?cid=11738962848978879838
Libra Biuro Rachunkowe,696 111 610,https://librabiuro.pl,,Bożeny 26A,librafilimowicz@wp.pl | maralb@interia.pl,https://google.com/maps?cid=5376695761851383354
Biuro Rachunkowe Income Tax Weronika Gręda,574 799 944,https://pl-pl.facebook.com,https://pl-pl.facebook.com/,Główna 30A,,https://google.com/maps?cid=5458178420371208050
Biuro Rachunkowe Aneta Milewska- Kozłowska Księgowość Usługi Księgowe,500 182 379,https://biurorachunkowemilewska.pl,,Plac Nowy Rynek 3,info@biurorachunkowemilewska.pl,https://google.com/maps?cid=16615689194919598858
Biuro Prawno-Rachunkowe Maciej Skorupiński,61 865 70 54,https://skorupinski.pl,,Marcelińska 90,biuro@skorupinski.pl,https://google.com/maps?cid=12310467758840988118
Biuro rachunkowe Pro Progress,61 833 33 92,https://proprogress.pl,,28 Czerwca 1956 r. 231/239,biuro@proprogress.pl,https://google.com/maps?cid=12310662368223263695
Nowypit.pl Biuro Prawno Rachunkowe,690 299 277,https://nowypit.pl,,Ściegiennego 137,biuro@nowypit.pl,https://google.com/maps?cid=15918224127740927815
Jan Pietrzak - Księgowy na 6,,https://ksiegowyna6.pl,,Engeströma 4/3,biuro@ksiegowyna6.pl,https://google.com/maps?cid=8955969307115227465
Biuro Rachunkowe MK-BILANS,723 263 000,,,Malwowa 12,,https://google.com/maps?cid=11397019591600008320
Biuro Rachunkowe Atoran,502 546 806,https://atoran.pl,https://www.facebook.com/profile.php?id=61576894697334 | https://www.youtube.com/embed/geivl0_hb_a,Jaworowa 47/3,liberkowska@atoran.pl,https://google.com/maps?cid=8855418582831201794
TaxShield Biuro Rachunkowe Online,531 331 479,https://taxshield.pl,,Pamiątkowa 2,biuro@taxshield.pl,https://google.com/maps?cid=14027134451144605524
Biuro Rachunkowe Clear Finance Sp. z o.o.,533 854 335,https://clearfinance.com.pl,,Droga Dębińska 13/9,biuro@clearfinance.com.pl,https://google.com/maps?cid=7022313609937198748
Biuro Rachunkowe Capital Sp. z o. o.,61 865 35 20,https://br-capital.pl,,Święty Marcin 80/82/355,biurorachunkowe.capital@gmail.com,https://google.com/maps?cid=2489099504004134980
Biuro Rachunkowe Elżbieta Wawrzyniak,61 222 59 82,https://wawrzyniakbiuro.pl,,Emilii Sczanieckiej 2/6,office@wawrzyniakbiuro.pl,https://google.com/maps?cid=14531077399950839859
Md Biuro Rachunkowe Małgorzata Dudziak,666 166 136,https://md-biurorachunkowe.com,,Osiedle Orła Białego 100,items.malgorzata@md-biurorachunkowe.com | malgorzata@md-biurorachunkowe.com,https://google.com/maps?cid=4465578335592989817
Biuro Rachunkowe CONSULTING-TAX sp. z o.o.,502 410 831,https://consulting-tax.com,,Jana Kochanowskiego 24/lok. 1,biuro@consulting-tax.com,https://google.com/maps?cid=7706010058801513379
Ankrys Usługi Księgowo-Podatkowe Katarzyna Farbisz Małgorzata Kozłowska,607 407 106,https://ankrysbiuro.pl,,Tadeusza Kościuszki 101a/1,,https://google.com/maps?cid=102317884719681418
Biuro Rachunkowe GAMA Izabela Mitkowska,61 828 19 22,https://gama-rachunkowosc.pl,,Wilanowska 70,biuro@gama-rachunkowosc.pl,https://google.com/maps?cid=13257233173214351380
Biuro Rachunkowe SODELIS,733 826 862,https://sodelis.pl,,Katowicka 65B,biuro@sodelis.pl,https://google.com/maps?cid=15711122756885368616
IN PLUS TAX,603 491 688,https://inplustax.pl,,Osiedle Bolesława Chrobrego 101/15,biuro@inplustax.pl,https://google.com/maps?cid=7893348230527264584
Biuro Rachunkowe AD-plus,880 680 868,https://ad-plus.pl,,osiedle Przyjaźni 137,biuro@ad-plus.pl,https://google.com/maps?cid=11571839537182914381
Biuro Rachunkowe LMB Office,794 415 415,https://lmboffice.pl,https://www.facebook.com/biuro-rachunkowe-lmb-office-1448560125442050/,Feliksa Nowowiejskiego 39,beata.vib@gmail.com,https://google.com/maps?cid=1057188283313328110
Biuro rachunkowe Infi,731 282 111,https://infi.com.pl,,Stanisława Barańczaka 3a/12,biuro@infi.com.pl,https://google.com/maps?cid=9200391657400173452
Biuro Rachunkowe Poznań | Kancelaria Gospodarcza,732 252 164,https://kgjk.eu,,Głogowska 176,kontakt@kgjk.eu,https://google.com/maps?cid=113629807969075442
Biuro Rachunkowe B&B I Бухгалтерия,514 018 884,https://biuro-bb.pl,,Andrzeja Sobczaka 1/216,,https://google.com/maps?cid=7421734754378944825
Biuro Rachunkowe Poznań,609 776 899,https://biurorachunkowepoznan.org,,Składowa 5B,,https://google.com/maps?cid=9690600534279627676
Pietkun Kancelaria Rachunkowa,518 607 207,https://pietkunkancelaria.pl,,Węgorka 20/lok. 5,sekretariat@pietkunkancelaria.pl,https://google.com/maps?cid=3209104135270595242
Biuro Rachunkowe MM Accounting Sp. z o.o.,515 938 021,https://mm-accounting.pl,,Włodarska 15,biuro@mm-accounting.pl,https://google.com/maps?cid=1540121478448550604
"Biuro rachunkowe KAIZEN Mateusz Bączyk - Księgowy, Księgowość Poznań",667 117 377,https://biuro-kaizen.pl,,Słoneczna 12,mateusz.baczyk@biuro-kaizen.pl,https://google.com/maps?cid=13905995584532304733
Kancelaria Doradcy Podatkowego Anna Cegielska,608 849 559,https://acega.pl,,Marcelińska 48/2,biuro@acega.pl | u0022webmaster@acega.pl,https://google.com/maps?cid=1027977101111107565
HONETT usługi księgowe Donata Kochańska,725 486 267,https://honett.pl,,Warszawska 43/116,d.kochanska@honett.pl,https://google.com/maps?cid=6568467335891887247
Biuro Rachunkowe MK Pawłowscy,797 552 146,https://mkpawlowscy.com,,Wojska Polskiego 63A,biuromkpawlowscy@gmail.com,https://google.com/maps?cid=17216492688576491466
Biuro Rachunkowe AGUS Agnieszka Augustyniak,511 075 926,https://agus-biurorachunkowe.com.pl,,Osiedle Bolesława Śmiałego 24,,https://google.com/maps?cid=6856962058951212213
Centrum Usług Rachunkowych - Anna Kuźniarek,61 862 86 46,https://centrumrachunkowe.poznan.pl,,Babimojska 11,biuro@centrumrachunkowe.poznan.pl,https://google.com/maps?cid=9473584760391156953
Biuro księgowe POINT,509 289 127,https://poznanksiegowa.pl,,Naramowicka 41/17,gosiachwialkowska@gmail.com,https://google.com/maps?cid=18044284797289012689
"Biuro Rachunkowe, doradztwo podatkowe",693 433 191,https://kdpo.pl,,Suszki 29/2,biuropoznan@kdpo.pl | biurowagrowiec@kdpo.pl,https://google.com/maps?cid=9825707310816973496
Księgowa Ewa Wojciechowska,606 553 563,https://ksiegowa-sowa.pl,,Osiedle Zwycięstwa 9/54,biuro@ksiegowa-sowa.pl,https://google.com/maps?cid=990261915637470193
AS KSIĘGOWOŚĆ SP. Z O.O.,531 732 727,,,Stanisława Taczaka 24/lok. 103,,https://google.com/maps?cid=8555969781895588042
Biuro Rachunkowe Algor,61 875 80 07,https://algor-podatki.pl,,osiedle Rusa 91,biuro@algor-podatki.pl,https://google.com/maps?cid=1951875729115410313
"Kancelaria Centrum - Wirtualne biuro, zakładanie spółek, księgowość",61 333 22 44,https://kancelariacentrum.pl,,Solna 3/14,biuro@kancelariacentrum.pl,https://google.com/maps?cid=6200695671059321375
inFakt,787 918 139,https://infakt.pl,,Gnieźnieńska 10,info@infakt.pl | mobile@infakt.pl,https://google.com/maps?cid=13308159962146729005
Katarzyna Burzyńska,502 147 217,https://obslugaspolek.pl,,Międzyborska 10/6,biuro@obslugaspolek.pl,https://google.com/maps?cid=17931874800284236556
BIURO KSIĘGOWE,535 035 053,https://ksiegowo.com.pl,,Promienista 142,,https://google.com/maps?cid=927157021831109522
Magdalena Mielcarek,881 075 079,https://mmtax.pl,,Adama Mickiewicza 30B/11,mielcarek@mmtax.pl,https://google.com/maps?cid=13503708041932146344
Jeske Magdalena auditor. accounting Office,61 847 38 83,https://mjbiuro.pl,,Jackowskiego 33,magdalena.jeske@mjbiuro.pl,https://google.com/maps?cid=16153429076153870081
Polskie Centrum Rachunkowości - lider księgowości w Polsce,61 250 24 33,https://polskiecentrumrachunkowosci.pl,,Solna 3/14,,https://google.com/maps?cid=2572105203214858912
VESPA Biuro Rachunkowe,505 666 999,https://ksiegowepoznan.pl,,osiedle Władysława Łokietka 5b,,https://google.com/maps?cid=13120307923186399252
Ferma Cyfr,61 826 15 88,https://fermacyfr.pl,,Milczańska 48a/2,fermacyfr@fermacyfr.pl,https://google.com/maps?cid=471750039544401571
Biuro Rachunkowe Kurdynowski Księgowość Poznań,696 392 727,https://kurdynowski.com.pl,,Drużbackiej 1a/2,,https://google.com/maps?cid=6321484587720873685
booq sp. z o.o. - nowoczesne biuro rachunkowo-księgowe,61 623 32 62,https://booq.com.pl,,Wielka 18/9,biuro@booq.com.pl,https://google.com/maps?cid=9993382536318024885
Księgowość,881 648 257,,,Wysoka 12/17,,https://google.com/maps?cid=11060334420014916870
BIURO-NIX Usługi Księgowe Sp.z o.o.,506 067 123,https://biuro-nix.pl,,Młyńska 5/9,,https://google.com/maps?cid=3458796164424048400
Maria Lipka,61 852 46 85,https://fachowaksiegowa.pl,,3 Maja 48A/3,biuro@fachowaksiegowa.pl,https://google.com/maps?cid=13900269834370020035
