"additionalInfo/info/Accessibility/0","additionalInfo/info/Accessibility/1","additionalInfo/info/Accessibility/2","additionalInfo/info/Accessibility/3","additionalInfo/info/Amenities/0","additionalInfo/info/Crowd/0","additionalInfo/info/Crowd/1","additionalInfo/info/From the business/0","additionalInfo/info/Parking/0","additionalInfo/info/Parking/1","additionalInfo/info/Parking/2","additionalInfo/info/Planning/0","additionalInfo/info/Planning/1","additionalInfo/info/Service options/0","additionalInfo/info/Service options/1","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","cid","city","country","country_code","country_name","display_rank","gid","isClaimed","language_code","language_name","latitude","longDescription","longitude","name","neighborhood","original_rank","phone","phoneIsd","photo","photoCount","placeId","priceRange","priceRangeText","providerId","rating","reviewCount","searchLocation","searchTerm","shortDescription","social/facebook/0","social/instagram/0","social/linkedin/0","social/twitter/0","social/youtube/0","state","status","street","timestamp","uncertain_emails/0","uncertain_emails/1","uncertain_emails/2","uncertain_emails/3","uncertain_emails/4","uncertain_emails/5","uncertain_emails/6","uncertain_emails/7","url","website","website_emails/0","website_emails/1","website_emails/2","website_emails/3","website_emails/4","website_emails/5","website_emails/6","website_emails/7","website_emails/8","website_emails/9","website_emails/10","website_emails/11","zip"
,,,,,,,,,,,,,,,"Grodziska 37, 60-363 Poznań, Poland","Accounting firm","Bookkeeping service","Business management consultant","Business to business service","Tax consultant",,,,,"16816275155863512957","Poznań","PL","us","United States","11","0x470444c3e5423cdd:0xe95f69286678a77d","Yes","en","English","52.409184499999995","","16.8842012","AWM Zarządzanie Rachunkowością Spółka z o.o.","Grunwald","31","61 662 44 87","+48 61 662 44 87","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerxaM7Jo1cVTVNafWXJatT0tIJOngRshmUuP-2yIOLYc6eT-GG19w3v1xi9vrVrDa-dTh-5LEi-MkQENrvxToG-Yp98QdaijP0Z4I0BPC6r-CkXD3UkpQigldUe8Kww9wRmq38=w1078-h364-k-no","3","YEeoacLMGOurw8cP-97NcQ","","","/g/1pv1d3c77","5","12","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Grodziska 37","2026-03-04 15:53:21.039702",,,,,,,,,"https://google.com/maps?cid=16816275155863512957","https://awmzr.pl",,,,,,,,,,,,,"60-363"
"Wheelchair accessible restroom","Wheelchair accessible seating","Wheelchair accessible entrance","Wheelchair accessible parking lot","Gender-neutral restroom",,,"Identifies as women-owned","Free parking lot","On-site parking","Free street parking","Appointment required","Appointments recommended","Onsite services","Online appointments","Rubież 46, C4/87, 61-612 Poznań, Poland","Bookkeeping service",,,,,,,,,"9320612674179228551","Poznań","PL","us","United States","12","0x47045cc5f007cf2f:0x815977d82d74e387","Yes","en","English","52.454964999999994","","16.956208999999998","ASCS-Consulting Biuro Rachunkowe","Stare Miasto","32","61 102 04 00","+48 61 102 04 00","https://lh3.googleusercontent.com/gps-cs-s/AHVAweozc5MGDMhfHyErZzszAzgklk6_tGtluwvK-jl9o3REylLxWTbsUXWlyWPyzbxhBHq-kzrNpSDcU45xQzvZ9OmU0uLl_gLAhBTc4nAvtb8vDrZibAOouU8qG4ZYtS3sXbf7wrpJ=w1242-h699-k-no","29","YEeoacLMGOurw8cP-97NcQ","","","/g/11dxbcbd4h","5","48","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Rubież 46, C4/87","2026-03-04 15:53:21.039722","amitai@asc-il.co.il","info@eqsystem.pl",,,,,,,"https://google.com/maps?cid=9320612674179228551","https://ascs-consulting.pl","biuro@ascs-consulting.pl",,,,,,,,,,,,"61-612"
"Wheelchair accessible seating",,,,,,,,,,,,,,,"Bosa 12a/5, 60-125 Poznań, Poland","Accountant","Accounting firm",,,,,,,,"3051899717962065212","Poznań","PL","us","United States","13","0x4704452e7e1ed3bd:0x2a5a869fb33e653c","Yes","en","English","52.3834489","","16.8888198","OPTIMUM - Accounting Office Poznan","Grunwald","33","692 247 448","+48 692 247 448","https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5vwlad7y7VydVbaifZuqyFVK4a7JJHjIz0NlMrA8ThPZJU8qwR6pcO9P2NvOq2pWhZqJxGGk0n7Q_eqS6dJ5AFHnN7G2VsZkM-m2hKLbzr8B9NPWX68ly4tIdyaCoW-7gkYI=w1542-h776-k-no","12","YEeoacLMGOurw8cP-97NcQ","","","/g/1tdg6hdk","5","1","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Bosa 12a/5","2026-03-04 15:53:21.039736",,,,,,,,,"https://google.com/maps?cid=3051899717962065212","https://optimumbiuro.com.pl",,,,,,,,,,,,,"60-125"
"Wheelchair accessible seating","Wheelchair accessible restroom",,,"Restroom",,,,,,,,,,,"Półwiejska 17/23, 61-885 Poznań, Poland","Tax preparation",,,,,,,,,"13518479638853511638","Poznań","PL","us","United States","14","0x47045b58cc85db65:0xbb9b499b8936e9d6","Yes","en","English","52.4032725","","16.9301332","Kancelaria Podatkowa Andrzej Nowak Sp. z o.o.","Stare Miasto","34","690 105 827","+48 690 105 827","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoxhDF1VGxW7qCvOX3A4GGj4RDIf2bkfwzy4auvKpVx6Q6Oc0XmK_FQNCJehhHhEVYIq-Rn9bUi9-HShCtk9lQWJCPw7dg2V5J6l3Lm-dJBB4aYjCWHQirYcPGlZNAbMZqPwVUkHA=w2048-h1536-k-no","12","YEeoacLMGOurw8cP-97NcQ","","","/g/11mw8kn1t9","4.8","77","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Półwiejska 17/23","2026-03-04 15:53:21.039756",,,,,,,,,"https://google.com/maps?cid=13518479638853511638","https://anowak.com.pl",,,,,,,,,,,,,"61-885"
"Wheelchair accessible seating",,,,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly","Identifies as women-owned","Paid street parking",,,,,"Onsite services",,"Przemysłowa 46A/6U, 61-541 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Business to business service","Payroll service",,,,,"15581496695228065283","Poznań","PL","us","United States","15","0x47045b2665b149db:0xd83c98b0a3fde603","Yes","en","English","52.395914499999996","","16.9183383","Biuro Rachunkowe EKONOMIK","Wilda, Poznań","35","602 330 036","+48 602 330 036","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZA4FH3Vl-kSGG2_TUbrozvW3Dpm2W8sXocQK9i3owcWAQ9w7bcXTD5VOpCQhaxNuQO2D3CGoLwUun1nhvenrsr-qoWqRaCovxCfy41nMI_17u9174bfO1xOCYlY3Tn_JQD3xlZaBOtOA=w1600-h1200-k-no","4","YEeoacLMGOurw8cP-97NcQ","","","/g/1tdz3j7h","4.9","37","Poznan, Polska","biuro rachunkowe","","https://www.facebook.com/people/ekonomik-biuro-rachunkowe/61578006587125/#","https://www.instagram.com/ekonomikbiurorachunkowe/",,,"https://www.youtube.com/channel/ucqdi4dm-zwterxe0ofifb2q","","Open","Przemysłowa 46A/6U","2026-03-04 15:53:21.039777","katarzyna.suminska@macmillan.pl","sekretariat@wsei.lublin.pl",,,,,,,"https://google.com/maps?cid=15581496695228065283","https://ekonomiksc.pl","biuro@ekonomiksc.pl",,,,,,,,,,,,"61-541"
,,,,,,,,,,,,,,,"Powstańców Wielkopolskich 16/921, 61-895 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service",,,,,,,"1853575879745537646","Poznań","PL","us","United States","16","0x47045b46d4980d9d:0x19b939712477066e","Yes","en","English","52.4046494","","16.9215935","Biuro Rachunkowe Merito Poznań","Stare Miasto","36","735 158 813","+48 735 158 813","https://lh3.googleusercontent.com/gps-cs-s/AHVAweohnhKoiUIskTRVDSvL6loNsce6WaD12W43dHHmGoPhzrHDYxBz_T4tTgozbgpIuCIUoplspMAqxcyjcZlD1Sa8a_rzlIHj3cYx7Poe0bPBfjPA1nHWojGFbv717-76Ns34llEgRA=w640-h360-k-no","2","YEeoacLMGOurw8cP-97NcQ","","","/g/11stqs80vj","4.6","10","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Powstańców Wielkopolskich 16/921","2026-03-04 15:53:21.039790",,,,,,,,,"https://google.com/maps?cid=1853575879745537646","https://biuromerito.pl",,,,,,,,,,,,,"61-895"
,,,,,,,,"Free parking lot",,,"Appointment required",,"Onsite services","Online appointments","Pamiątkowa 2/35, 61-512 Poznań, Poland","Accountant","Financial consultant","Social security office",,,,,,,"18237214621578844101","Poznań","PL","us","United States","17","0x47045b25afd7d1dd:0xfd179a12cbc457c5","Yes","en","English","52.3870054","","16.9131459","Spectrum Biuro Rachunkowe","Wilda, Poznań","37","519 642 268","+48 519 642 268","https://lh3.googleusercontent.com/gps-cs-s/AHVAweq6lOKFQG9ZqYW_hzbJi7hX3QQTD3-IX3XGbum1IOm7kzjdB-F4Z4llamp7G_fOsP32aOIiDnDIxdTWO3YQ1Fl1s1_oyCq-Mpn1Saaf8w8JOARky-mJJz-UVnJXhXCd3GdkxDEQ=w3024-h4032-k-no","6","YEeoacLMGOurw8cP-97NcQ","","","/g/1tcvsk99","4.7","24","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Pamiątkowa 2/35","2026-03-04 15:53:21.039805",,,,,,,,,"https://google.com/maps?cid=18237214621578844101","https://biuro-spectrum.pl",,,,,,,,,,,,,"61-512"
,,,,,"Transgender safespace","LGBTQ+ friendly","Identifies as women-owned",,,,"Appointment required",,"Onsite services","Online appointments","Wodna 15/11, 61-782 Poznań, Poland","Bookkeeping service","Accounting firm",,,,,,,,"5332473471663867816","Poznań","PL","us","United States","18","0x470445326d487945:0x4a00c05eacb807a8","Yes","en","English","52.4071011","","16.9374729","Kancelaria Usług Księgowych Tyniec & Partnerzy","Stare Miasto","38","883 753 345","+48 883 753 345","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepiOJy_e27PsK20YeLGfQbr-9etHrVqzOaWeyF8wsKKN-Ts_lLkrDLTo9Y6s2MW-X7UURAB4dd4YOK3Nl5RGx6cARwOeSN8b2LYsBTUz0KX59hWNLjFeTPTtkpg3RkbJ_7-YyHEvw=w1536-h1030-k-no","16","YEeoacLMGOurw8cP-97NcQ","","","/g/11j8tj6vcl","5","88","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Wodna 15/11","2026-03-04 15:53:21.039819",,,,,,,,,"https://google.com/maps?cid=5332473471663867816","https://kancelariatyniec.pl",,,,,,,,,,,,,"61-782"
,,,,,,,,,,,,,,,"Głogowska 277, 60-104 Poznań, Poland","Bookkeeping service","Accountant","Tax preparation","Training center",,,,,,"2858768326256688791","Poznań","PL","us","United States","19","0x4704454780c7a2d7:0x27ac62a575aafe97","Yes","en","English","52.3730741","","16.8672793","Biuro Rachunkowe Poznań DRD 📖","Grunwald","39","61 830 92 70","+48 61 830 92 70","https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-5fnzIf2geeC-jqEuMFQB0c2EpdaAzwhHYPyOLeM-zSJT6wIqk7R0KhWCbturiVCi94TnTvZF1dAy3IhjzkGcNmdBwIqBcWej-KQpmvc4QLx4JPHMb18YhzMtLLNhBGID9YpyBnHeSa-U=w815-h858-k-no","14","YEeoacLMGOurw8cP-97NcQ","","","/g/1tcxsyst","5","7","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Głogowska 277","2026-03-04 15:53:21.039833","info@drdpartnership.com","sekretariat@antydopinglab.pl","dorota.kwiatkowska@antydopinglab.pl","mpd@dc.gov","amir.ahkami@pnnl.gov",,,,"https://google.com/maps?cid=2858768326256688791","https://drd.pl","biuro@drd.pl",,,,,,,,,,,,"60-104"
,,,,,,,,,,,,,,,"Grunwaldzka 149, 60-313 Poznań, Poland","Bookkeeping service","Accountant","Accounting firm","Tax consultant","Tax preparation",,,,,"17893026842482319202","Poznań","PL","us","United States","20","0x47045b354eb2bf0f:0xf850cd1ca6b01f62","Yes","en","English","52.396041399999994","","16.8633563","Biuro Rachunkowe Stefańska Anna","Grunwald","40","61 834 30 50","+48 61 834 30 50","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep-PPBr6O-wCWWEB6qKPfL4w8Kh2v_xfcJFdthr2hTa6OldB6aRHocdWdJHUSlzt6i85sLXs-4L6RzJuogAMEaygIrXvu3bGBZqri8St6cJZG37DqqTD8TtLVgprpO0xfhWilkUQA=w2121-h1414-k-no","29","YEeoacLMGOurw8cP-97NcQ","","","/g/1td6lc1s","4.6","9","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Grunwaldzka 149","2026-03-04 15:53:21.039852","annast@op.pl","biuro@biurorachunkowe-ms.pl","kontakt@biurosir.pl",,,,,,"https://google.com/maps?cid=17893026842482319202","https://biurorachunkowe-stefanska.pl","anna.stefanska.biuro@gmail.com",,,,,,,,,,,,"60-313"
"Wheelchair accessible entrance",,,,,"LGBTQ+ friendly",,,,,,,,"Onsite services",,"Potockiej 25, 60-211 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Certified public accountant","Virtual office rental",,,,,"2720988474387891732","Poznań","PL","us","United States","21","0x47044574864651ef:0x25c2e499ddd28614","Yes","en","English","52.391156699999996","","16.8969976","FakturTax biuro rachunkowe Poznań","Grunwald","0","501 264 565","+48 501 264 565","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoVM-TPnBSwNi0nlCKZsdPuRJZuSITwo7CbXpilxql06HAm3_v1Z5kcAn-PNrKevpjxvLG9l6HTKtbtDK-jNjWD5qUcyjkN3lqppczhWVKJYUB95EVWQXuO1OFfSNoZ4M_yb7sN9GGXGai8=w2048-h2048-k-no","74","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11h0333ljw","4.9","216","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Potockiej 25","2026-03-04 15:53:21.049824","filip@fakturtax.pl","anisanurmaulidya1@gmail.com",,,,,,,"https://google.com/maps?cid=2720988474387891732","https://fakturtax.pl","kontakt@fakturtax.pl",,,,,,,,,,,,"60-211"
